Date,Open,High,Low,Close,Adj Close,Volume
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-12,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-07-31,,,,,,
2020-08-03,,,,,,
2020-08-04,,,,,,
2020-08-05,,,,,,
2020-08-06,,,,,,
2020-08-07,,,,,,
2020-08-10,,,,,,
2020-08-11,,,,,,
2020-08-12,,,,,,
2020-08-13,,,,,,
2020-08-14,,,,,,
2020-08-17,,,,,,
2020-08-18,,,,,,
2020-08-19,,,,,,
2020-08-20,,,,,,
2020-08-21,,,,,,
2020-08-24,,,,,,
2020-08-25,,,,,,
2020-08-26,,,,,,
2020-08-27,,,,,,
2020-08-28,,,,,,
2020-08-31,,,,,,
2020-09-01,,,,,,
2020-09-02,,,,,,
2020-09-03,,,,,,
2020-09-04,,,,,,
2020-09-07,,,,,,
2020-09-08,,,,,,
2020-09-09,,,,,,
2020-09-10,,,,,,
2020-09-11,,,,,,
2020-09-14,,,,,,
2020-09-15,,,,,,
2020-09-16,,,,,,
2020-09-17,,,,,,
2020-09-18,,,,,,
2020-09-21,,,,,,
2020-09-22,,,,,,
2020-09-23,,,,,,
2020-09-24,,,,,,
2020-09-25,,,,,,
2020-09-28,,,,,,
2020-09-29,,,,,,
2020-09-30,,,,,,
2020-10-01,,,,,,
2020-10-05,,,,,,
2020-10-06,,,,,,
2020-10-07,,,,,,
2020-10-08,,,,,,
2020-10-09,,,,,,
2020-10-12,,,,,,
2020-10-13,,,,,,
2020-10-14,,,,,,
2020-10-15,,,,,,
2020-10-16,,,,,,
2020-10-19,,,,,,
2020-10-20,,,,,,
2020-10-21,,,,,,
2020-10-22,,,,,,
2020-10-23,,,,,,
2020-10-26,,,,,,
2020-10-27,,,,,,
2020-10-28,,,,,,
2020-10-29,,,,,,
2020-10-30,,,,,,
2020-11-02,,,,,,
2020-11-03,,,,,,
2020-11-04,,,,,,
2020-11-05,,,,,,
2020-11-06,,,,,,
2020-11-09,,,,,,
2020-11-10,,,,,,
2020-11-11,,,,,,
2020-11-12,,,,,,
2020-11-13,,,,,,
2020-11-17,,,,,,
2020-11-18,,,,,,
2020-11-19,,,,,,
2020-11-20,,,,,,
2020-11-23,,,,,,
2020-11-24,,,,,,
2020-11-25,,,,,,
2020-11-26,,,,,,
2020-11-27,,,,,,
2020-12-01,,,,,,
2020-12-02,,,,,,
2020-12-03,,,,,,
2020-12-04,,,,,,
2020-12-07,,,,,,
2020-12-08,,,,,,
2020-12-09,,,,,,
2020-12-10,,,,,,
2020-12-11,,,,,,
2020-12-14,,,,,,
2020-12-15,,,,,,
2020-12-16,,,,,,
2020-12-17,,,,,,
2020-12-18,,,,,,
2020-12-21,,,,,,
2020-12-22,,,,,,
2020-12-23,,,,,,
2020-12-24,,,,,,
2020-12-28,,,,,,
2020-12-29,,,,,,
2020-12-30,,,,,,
2020-12-31,,,,,,
2021-01-01,,,,,,
2021-01-04,,,,,,
2021-01-05,,,,,,
2021-01-06,,,,,,
2021-01-07,,,,,,
2021-01-08,,,,,,
2021-01-11,,,,,,
2021-01-12,,,,,,
2021-01-13,,,,,,
2021-01-14,,,,,,
2021-01-15,,,,,,
2021-01-18,,,,,,
2021-01-19,,,,,,
2021-01-20,,,,,,
2021-01-21,,,,,,
2021-01-22,,,,,,
2021-01-25,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-29,,,,,,
2021-02-01,,,,,,
2021-02-02,,,,,,
2021-02-03,,,,,,
2021-02-04,,,,,,
2021-02-05,,,,,,
2021-02-08,,,,,,
2021-02-09,,,,,,
2021-02-10,,,,,,
2021-02-11,,,,,,
2021-02-12,,,,,,
2021-02-15,,,,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,,,,,,
2021-02-19,,,,,,
2021-02-22,,,,,,
2021-02-23,,,,,,
2021-02-24,,,,,,
2021-02-25,,,,,,
2021-02-26,,,,,,
2021-03-01,,,,,,
2021-03-02,,,,,,
2021-03-03,,,,,,
2021-03-04,,,,,,
2021-03-05,,,,,,
2021-03-08,,,,,,
2021-03-09,,,,,,
2021-03-10,,,,,,
2021-03-12,,,,,,
2021-03-15,1050.0,1154.9000244140625,1040.0,1082.5,1082.5,14975890.0
2021-03-16,1079.0,1079.0,986.0,1008.0499877929688,1008.0499877929688,3988465.0
2021-03-17,1001.0,1003.0,933.0,950.3499755859375,950.3499755859375,2904461.0
2021-03-18,953.0,973.0,904.5,920.7000122070312,920.7000122070312,1515177.0
2021-03-19,910.0,977.9500122070312,860.0,969.4500122070312,969.4500122070312,2007979.0
2021-03-22,973.9000244140625,1038.0,960.1500244140625,1030.5,1030.5,1223675.0
2021-03-23,1043.0,1066.0,1003.0499877929688,1052.4000244140625,1052.4000244140625,1003400.0
2021-03-24,1045.0,1076.300048828125,996.3499755859375,1013.7000122070312,1013.7000122070312,886211.0
2021-03-25,1010.0,1027.199951171875,970.0,981.4000244140625,981.4000244140625,444381.0
2021-03-26,1001.0499877929688,1026.699951171875,1001.0,1017.7000122070312,1017.7000122070312,304365.0
2021-03-30,1026.0,1033.0,991.0,1011.0499877929688,1011.0499877929688,248848.0
2021-03-31,1011.0,1050.699951171875,990.9000244140625,1023.7000122070312,1023.7000122070312,295357.0
2021-04-01,1049.5,1059.0,1035.0,1045.6500244140625,1045.6500244140625,241427.0
2021-04-05,1050.0,1060.0,1008.3499755859375,1038.300048828125,1038.300048828125,276148.0
2021-04-06,1050.0,1053.0,1007.1500244140625,1016.0,1016.0,181540.0
2021-04-07,1021.0,1041.800048828125,1008.0499877929688,1023.5499877929688,1023.5499877929688,183243.0
2021-04-08,1028.8499755859375,1070.0,1022.0499877929688,1042.949951171875,1042.949951171875,328991.0
2021-04-09,1046.0,1051.0,1022.0,1028.3499755859375,1028.3499755859375,337491.0
2021-04-12,1018.0,1019.2000122070312,957.0499877929688,967.1500244140625,967.1500244140625,220266.0
2021-04-13,974.0,988.0,948.7000122070312,974.3499755859375,974.3499755859375,256826.0
2021-04-15,981.0,996.3499755859375,953.0,960.4500122070312,960.4500122070312,393921.0
2021-04-16,972.9500122070312,977.9500122070312,943.0499877929688,949.7999877929688,949.7999877929688,221781.0
2021-04-19,940.0,940.0,914.1500244140625,919.5,919.5,155531.0
2021-04-20,935.0,960.0,928.0499877929688,941.4000244140625,941.4000244140625,153964.0
2021-04-22,941.0999755859375,973.9500122070312,936.0,964.75,964.75,217613.0
2021-04-23,962.0,979.0,952.7999877929688,957.6500244140625,957.6500244140625,151055.0
2021-04-26,965.0,969.9500122070312,938.0,944.5999755859375,944.5999755859375,117881.0
2021-04-27,948.0,954.5999755859375,945.0499877929688,946.1500244140625,946.1500244140625,106876.0
2021-04-28,947.0999755859375,967.7999877929688,947.0999755859375,956.9000244140625,956.9000244140625,98380.0
