Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-12,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,,,,,,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-07-31,,,,,,
2020-08-03,,,,,,
2020-08-04,,,,,,
2020-08-05,,,,,,
2020-08-06,,,,,,
2020-08-07,,,,,,
2020-08-10,,,,,,
2020-08-11,,,,,,
2020-08-12,,,,,,
2020-08-13,,,,,,
2020-08-14,,,,,,
2020-08-17,,,,,,
2020-08-18,,,,,,
2020-08-19,,,,,,
2020-08-20,,,,,,
2020-08-21,,,,,,
2020-08-24,,,,,,
2020-08-25,,,,,,
2020-08-26,,,,,,
2020-08-27,,,,,,
2020-08-28,,,,,,
2020-08-31,,,,,,
2020-09-01,,,,,,
2020-09-02,,,,,,
2020-09-03,,,,,,
2020-09-04,,,,,,
2020-09-07,,,,,,
2020-09-08,,,,,,
2020-09-09,,,,,,
2020-09-10,,,,,,
2020-09-11,,,,,,
2020-09-14,,,,,,
2020-09-15,,,,,,
2020-09-16,,,,,,
2020-09-17,,,,,,
2020-09-18,,,,,,
2020-09-21,,,,,,
2020-09-22,,,,,,
2020-09-23,,,,,,
2020-09-24,,,,,,
2020-09-25,,,,,,
2020-09-28,,,,,,
2020-09-29,,,,,,
2020-09-30,,,,,,
2020-10-01,,,,,,
2020-10-05,1486.5,1565.5,1455.0,1474.25,1471.8353271484375,8466.0
2020-10-06,1485.0,1505.0,1437.530029296875,1484.8499755859375,1482.4178466796875,8808.0
2020-10-07,1487.3199462890625,1497.5,1438.5,1456.469970703125,1454.0843505859375,7614.0
2020-10-08,1450.0,1490.0,1450.0,1472.699951171875,1470.2877197265625,11660.0
2020-10-09,1475.0,1744.0,1475.0,1680.699951171875,1677.947021484375,127980.0
2020-10-12,1711.1800537109375,1938.5,1700.5,1810.1199951171875,1807.1551513671875,78486.0
2020-10-13,1812.5,1870.0,1650.030029296875,1783.719970703125,1780.79833984375,44334.0
2020-10-14,1799.5,1874.800048828125,1782.5,1799.5999755859375,1796.65234375,38552.0
2020-10-15,1825.0,1839.0,1737.550048828125,1757.6800537109375,1754.8011474609375,19622.0
2020-10-16,1745.5,1824.5,1715.550048828125,1766.5999755859375,1763.7064208984375,18254.0
2020-10-19,1825.0,1825.0,1750.0,1762.300048828125,1759.41357421875,30670.0
2020-10-20,1775.0,1787.6800537109375,1700.0,1714.1500244140625,1711.3424072265625,16376.0
2020-10-21,1725.1500244140625,1754.969970703125,1615.0,1647.6199951171875,1644.9212646484375,18526.0
2020-10-22,1647.6500244140625,1669.780029296875,1630.0,1638.8199462890625,1636.1356201171875,7534.0
2020-10-23,1635.0,1812.5,1635.0,1748.550048828125,1745.68603515625,36740.0
2020-10-26,1745.0,1788.969970703125,1675.5,1684.949951171875,1682.1900634765625,16062.0
2020-10-27,1698.449951171875,1698.449951171875,1637.780029296875,1664.699951171875,1661.9732666015625,12562.0
2020-10-28,1690.0,1764.9300537109375,1645.0,1654.6199951171875,1651.9097900390625,10212.0
2020-10-29,1650.0,1675.0,1612.530029296875,1658.9000244140625,1656.182861328125,12924.0
2020-10-30,1652.219970703125,1675.0,1633.0,1660.0999755859375,1657.380859375,5130.0
2020-11-02,1665.0,1665.0,1615.0,1622.949951171875,1620.2916259765625,10016.0
2020-11-03,1624.449951171875,1658.219970703125,1600.0,1643.050048828125,1640.35888671875,7688.0
2020-11-04,1644.6199951171875,1650.0,1625.530029296875,1645.5699462890625,1642.8746337890625,5784.0
2020-11-05,1665.0,1927.5,1620.0,1865.969970703125,1862.91357421875,187038.0
2020-11-06,1849.0,1885.0,1806.0699462890625,1844.5999755859375,1841.57861328125,50212.0
2020-11-09,1862.449951171875,1865.0,1808.280029296875,1819.0,1816.0206298828125,22734.0
2020-11-10,1822.5,1822.5,1751.0999755859375,1780.4300537109375,1777.5137939453125,21158.0
2020-11-11,1799.5,1799.5,1750.5,1787.719970703125,1784.791748046875,34914.0
2020-11-12,1789.75,1854.3800048828125,1778.8499755859375,1811.3800048828125,1808.4130859375,81038.0
2020-11-13,1824.5,1845.030029296875,1702.5,1718.949951171875,1716.1343994140625,103752.0
2020-11-17,1565.0,1578.0,1480.5699462890625,1548.0999755859375,1545.5643310546875,108088.0
2020-11-18,1549.5,1572.5,1532.0,1535.199951171875,1532.6854248046875,39552.0
2020-11-19,1545.0,1549.5,1530.0,1535.800048828125,1533.2845458984375,31772.0
2020-11-20,1537.5,1544.469970703125,1509.9000244140625,1525.550048828125,1523.05126953125,24056.0
2020-11-23,1545.0,1547.0,1509.9000244140625,1526.3199462890625,1523.8199462890625,21800.0
2020-11-24,1543.5,1597.0,1527.0,1581.6199951171875,1581.6199951171875,46728.0
2020-11-25,1599.719970703125,1599.719970703125,1549.0,1553.5699462890625,1553.5699462890625,17652.0
2020-11-26,1575.0,1589.969970703125,1553.0,1562.9000244140625,1562.9000244140625,10430.0
2020-11-27,1574.75,1588.5,1557.699951171875,1567.0,1567.0,18104.0
2020-12-01,1575.0,1582.5,1524.0,1542.800048828125,1542.800048828125,44406.0
2020-12-02,1559.75,1574.449951171875,1540.300048828125,1552.6500244140625,1552.6500244140625,11152.0
2020-12-03,1552.6500244140625,1577.0,1532.0,1542.6500244140625,1542.6500244140625,19936.0
2020-12-04,1542.0,1567.1500244140625,1535.0,1537.4000244140625,1537.4000244140625,15058.0
2020-12-07,1550.0,1563.969970703125,1534.5,1548.4300537109375,1548.4300537109375,30946.0
2020-12-08,1562.5,1562.5,1522.5,1535.699951171875,1535.699951171875,18510.0
2020-12-09,1558.969970703125,1558.969970703125,1532.5,1536.0,1536.0,9662.0
2020-12-10,1549.5,1627.5,1527.0,1588.199951171875,1588.199951171875,47626.0
2020-12-11,1600.5,1602.5,1563.699951171875,1575.0699462890625,1575.0699462890625,26320.0
2020-12-14,1600.0,1620.0,1579.3199462890625,1596.780029296875,1596.780029296875,38520.0
2020-12-15,1609.0,1625.0,1587.550048828125,1597.800048828125,1597.800048828125,25234.0
2020-12-16,1609.5,1645.0,1595.0,1625.6199951171875,1625.6199951171875,60316.0
2020-12-17,1637.5,1657.5,1600.0,1620.030029296875,1620.030029296875,83790.0
2020-12-18,1642.5,1670.0,1609.949951171875,1653.5,1653.5,63262.0
2020-12-21,1685.0,1744.199951171875,1595.0,1646.4300537109375,1646.4300537109375,151092.0
2020-12-22,1679.9300537109375,1717.5,1601.5,1645.5,1645.5,62202.0
2020-12-23,1651.5,1677.5,1645.550048828125,1659.199951171875,1659.199951171875,151460.0
2020-12-24,1680.0,1991.0,1605.5,1614.25,1614.25,58934.0
2020-12-28,1611.050048828125,1633.6500244140625,1573.0999755859375,1588.8499755859375,1588.8499755859375,17810.0
2020-12-29,1607.9000244140625,1609.9000244140625,1561.3499755859375,1582.6500244140625,1582.6500244140625,18830.0
2020-12-30,1571.050048828125,1579.949951171875,1539.9000244140625,1552.0999755859375,1552.0999755859375,21754.0
2020-12-31,1541.25,1567.449951171875,1530.550048828125,1535.5999755859375,1535.5999755859375,15143.0
2021-01-01,1536.0,1594.0,1536.0,1550.0,1550.0,18769.0
2021-01-04,1570.1500244140625,1579.0,1542.800048828125,1547.1500244140625,1547.1500244140625,14426.0
2021-01-05,1541.949951171875,1562.300048828125,1523.699951171875,1530.300048828125,1530.300048828125,15984.0
2021-01-06,1535.0,1559.9000244140625,1524.0,1534.4000244140625,1534.4000244140625,16038.0
2021-01-07,1540.199951171875,1554.5,1519.0,1526.0,1526.0,12937.0
2021-01-08,1550.0,1554.949951171875,1518.050048828125,1538.25,1538.25,25339.0
2021-01-11,1538.25,1549.25,1488.0,1492.800048828125,1492.800048828125,29238.0
2021-01-12,1481.0,1499.25,1431.0,1440.0999755859375,1440.0999755859375,43934.0
2021-01-13,1443.0,1457.4000244140625,1387.0,1404.800048828125,1404.800048828125,38530.0
2021-01-14,1420.0,1545.0,1401.0,1501.1500244140625,1501.1500244140625,102908.0
2021-01-15,1509.0,1509.0,1451.8499755859375,1469.3499755859375,1469.3499755859375,26931.0
2021-01-18,1475.0,1498.0,1427.5999755859375,1444.699951171875,1444.699951171875,12185.0
2021-01-19,1450.0,1494.0,1431.050048828125,1449.9000244140625,1449.9000244140625,11271.0
2021-01-20,1456.75,1458.8499755859375,1421.5,1435.050048828125,1435.050048828125,13331.0
2021-01-21,1446.550048828125,1451.199951171875,1415.0,1422.5,1422.5,8288.0
2021-01-22,1427.449951171875,1439.050048828125,1400.25,1404.8499755859375,1404.8499755859375,11170.0
2021-01-25,1411.8499755859375,1432.050048828125,1385.1500244140625,1391.0999755859375,1391.0999755859375,9043.0
2021-01-27,1397.949951171875,1414.800048828125,1378.0,1399.25,1399.25,19472.0
2021-01-28,1398.0,1398.0,1355.0,1368.0,1368.0,14357.0
2021-01-29,1381.550048828125,1398.0,1358.0,1363.949951171875,1363.949951171875,9591.0
2021-02-01,1365.0,1420.050048828125,1349.050048828125,1387.5,1387.5,13560.0
2021-02-02,1410.0,1413.0,1350.0,1363.5999755859375,1363.5999755859375,13701.0
2021-02-03,1364.0,1490.0,1363.5999755859375,1424.0999755859375,1424.0999755859375,39282.0
2021-02-04,1425.0,1439.0,1395.0,1401.6500244140625,1401.6500244140625,8724.0
2021-02-05,1412.8499755859375,1427.8499755859375,1377.0999755859375,1380.449951171875,1380.449951171875,10931.0
2021-02-08,1394.0999755859375,1413.1500244140625,1370.0999755859375,1388.949951171875,1388.949951171875,11421.0
2021-02-09,1385.0,1407.1500244140625,1365.0,1372.75,1372.75,22783.0
2021-02-10,1395.0,1395.0,1330.199951171875,1341.6500244140625,1341.6500244140625,32239.0
2021-02-11,1341.6500244140625,1399.9000244140625,1324.0,1366.1500244140625,1366.1500244140625,35559.0
2021-02-12,1373.0,1412.050048828125,1350.0,1354.25,1354.25,35224.0
2021-02-15,1367.6500244140625,1376.050048828125,1325.050048828125,1338.5999755859375,1338.5999755859375,23796.0
2021-02-16,1384.0,1384.0,1321.050048828125,1325.800048828125,1325.800048828125,22205.0
2021-02-17,1328.0,1346.0999755859375,1290.0,1311.3499755859375,1311.3499755859375,22285.0
2021-02-18,1329.0,1332.699951171875,1285.0,1292.25,1292.25,30904.0
2021-02-19,1295.0,1370.0,1295.0,1331.800048828125,1331.800048828125,44146.0
2021-02-22,1330.449951171875,1354.0999755859375,1298.0,1305.5,1305.5,16069.0
2021-02-23,1310.0,1315.8499755859375,1280.0,1286.1500244140625,1286.1500244140625,17824.0
2021-02-24,1292.5999755859375,1310.0,1234.699951171875,1272.5999755859375,1272.5999755859375,16554.0
2021-02-25,1296.1500244140625,1296.1500244140625,1267.5,1273.449951171875,1273.449951171875,21470.0
2021-02-26,1270.0,1270.0,1251.050048828125,1257.550048828125,1257.550048828125,13991.0
2021-03-01,1264.0,1275.0,1227.0,1235.0,1235.0,20937.0
2021-03-02,1247.25,1262.75,1230.0,1234.8499755859375,1234.8499755859375,14391.0
2021-03-03,1235.0,1310.0,1229.949951171875,1248.0,1248.0,62609.0
2021-03-04,1241.0999755859375,1285.0,1241.0999755859375,1269.6500244140625,1269.6500244140625,22488.0
2021-03-05,1270.0,1325.0,1269.5,1294.6500244140625,1294.6500244140625,62171.0
2021-03-08,1307.0,1312.949951171875,1275.0,1286.300048828125,1286.300048828125,17719.0
2021-03-09,1294.0,1296.050048828125,1246.050048828125,1251.300048828125,1251.300048828125,20697.0
