Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,21STCENMGM,EQ,23138,23133,99.98
20,3,3MINDIA,EQ,22642,21608,95.43
20,4,5PAISA,EQ,29710,12622,42.48
20,5,618GS2024,GS,90,90,100.00
20,6,622GS2035,GS,2200,2200,100.00
20,7,63MOONS,EQ,108151,52313,48.37
20,8,667GS2050,GS,500,500,100.00
20,9,676GS2061,GS,19299,19299,100.00
20,10,719GS2060,GS,66,66,100.00
20,11,A2ZINFRA,EQ,565222,300770,53.21
20,12,AAKASH,EQ,69245,36969,53.39
20,13,AAREYDRUGS,EQ,64654,43404,67.13
20,14,AARON,EQ,11629,10520,90.46
20,15,AARTIDRUGS,EQ,613426,211414,34.46
20,16,AARTIIND,EQ,4383093,1020297,23.28
20,17,AARTISURF,EQ,17099,9911,57.96
20,18,AARVEEDEN,EQ,42678,29270,68.58
20,19,AARVI,EQ,67029,54912,81.92
20,20,AAVAS,EQ,33026,16945,51.31
20,21,ABAN,EQ,876486,410257,46.81
20,22,ABB,EQ,159998,126147,78.84
20,23,ABBOTINDIA,EQ,82214,17069,20.76
20,24,ABCAPITAL,EQ,3147728,1314919,41.77
20,25,ABFRL,EQ,11071898,2261150,20.42
20,26,ABINFRA,SM,4000,4000,100.00
20,27,ABMINTLLTD,EQ,1947,1946,99.95
20,28,ABSLBANETF,EQ,1181,126,10.67
20,29,ABSLDAF2DN,MF,2002,0,0.00
20,30,ABSLNN50ET,EQ,893,846,94.74
20,31,ACC,EQ,251071,88138,35.10
20,32,ACCELYA,EQ,37347,21679,58.05
20,33,ACCURACY,EQ,118211,41391,35.01
20,34,ACE,EQ,1020671,361647,35.43
20,35,ACEINTEG,SM,3000,3000,100.00
20,36,ACRYSIL,EQ,65364,42971,65.74
20,37,ADANIENT,EQ,2544835,434243,17.06
20,38,ADANIGREEN,EQ,583547,328259,56.25
20,39,ADANIPORTS,EQ,3270764,841108,25.72
20,40,ADANIPOWER,EQ,18388056,8659949,47.10
20,41,ADFFOODS,EQ,8981,4602,51.24
20,42,ADORWELD,EQ,83231,37605,45.18
20,43,ADSL,EQ,1723612,814432,47.25
20,44,ADVANIHOTR,EQ,23296,11671,50.10
20,45,ADVENZYMES,EQ,264097,97158,36.79
20,46,AEGISCHEM,EQ,691195,398263,57.62
20,47,AFFLE,EQ,161892,84661,52.29
20,48,AGARIND,EQ,49541,44816,90.46
20,49,AGROPHOS,EQ,54244,35139,64.78
20,50,AHLADA,EQ,60786,42578,70.05
20,51,AHLEAST,EQ,8721,5016,57.52
20,52,AHLUCONT,EQ,14654,9350,63.81
20,53,AHLWEST,EQ,7327,4355,59.44
20,54,AIAENG,EQ,393459,382948,97.33
20,55,AILIMITED,SM,3000,3000,100.00
20,56,AIROLAM,SM,120000,66000,55.00
20,57,AISL,SM,26400,22800,86.36
20,58,AJANTPHARM,EQ,54272,40090,73.87
20,59,AJOONI,EQ,144128,93517,64.88
20,60,AKASH,EQ,145543,53408,36.70
20,61,AKG,EQ,9052,8668,95.76
20,62,AKSHARCHEM,EQ,687454,171042,24.88
20,63,AKZOINDIA,EQ,7088,4268,60.21
20,64,ALANKIT,EQ,3090499,974114,31.52
20,65,ALBERTDAVD,EQ,29563,14057,47.55
20,66,ALEMBICLTD,EQ,200712,84846,42.27
20,67,ALICON,EQ,8591,5543,64.52
20,68,ALKALI,EQ,1791652,513274,28.65
20,69,ALKEM,EQ,162567,97110,59.74
20,70,ALKYLAMINE,EQ,186471,84653,45.40
20,71,ALLCARGO,EQ,3197852,1119300,35.00
20,72,ALLSEC,EQ,6990,4687,67.05
20,73,ALMONDZ,EQ,37182,31092,83.62
20,74,ALOKINDS,EQ,13084954,4991755,38.15
20,75,ALPA,EQ,237711,133837,56.30
20,76,ALPHAGEO,EQ,382952,97990,25.59
20,77,AMARAJABAT,EQ,895931,352497,39.34
20,78,AMBER,EQ,53669,21445,39.96
20,79,AMBICAAGAR,EQ,47191,34408,72.91
