Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,21STCENMGM,EQ,487,487,100.00
20,3,3MINDIA,EQ,994,598,60.16
20,4,509GS2022,GS,138,138,100.00
20,5,5PAISA,EQ,49649,25314,50.99
20,6,622GS2035,GS,200,200,100.00
20,7,63MOONS,EQ,229564,120597,52.53
20,8,664GS2035,GS,300,300,100.00
20,9,667GS2050,GS,804,778,96.77
20,10,676GS2061,GS,1570,1475,93.95
20,11,757GS2033,GS,1,1,100.00
20,12,772GS2055,GS,200,200,100.00
20,13,813GS2045,GS,50,50,100.00
20,14,A2ZINFRA,EQ,448316,298645,66.61
20,15,AAKASH,EQ,325909,246533,75.64
20,16,AARON,EQ,18716,12537,66.99
20,17,AARTIDRUGS,EQ,1594740,506686,31.77
20,18,AARTIIND,EQ,669683,311470,46.51
20,19,AARTISURF,EQ,36971,21021,56.86
20,20,AARVEEDEN,EQ,18329,16329,89.09
20,21,AARVI,EQ,50830,30404,59.82
20,22,AAVAS,EQ,98051,68072,69.43
20,23,ABAN,EQ,147370,85634,58.11
20,24,ABB,EQ,107633,52388,48.67
20,25,ABBOTINDIA,EQ,15320,10805,70.53
20,26,ABCAPITAL,EQ,1726743,676288,39.17
20,27,ABFRL,EQ,3707340,975307,26.31
20,28,ABINFRA,SM,36000,36000,100.00
20,29,ABSLBANETF,EQ,223,93,41.70
20,30,ABSLNN50ET,EQ,26,14,53.85
20,31,ABSLRIF6RG,MF,3601,3601,100.00
20,32,ABSLRIF7RG,MF,400,400,100.00
20,33,ACC,EQ,437170,61021,13.96
20,34,ACCELYA,EQ,89260,29171,32.68
20,35,ACCORD,SM,2000,2000,100.00
20,36,ACCURACY,EQ,51017,33600,65.86
20,37,ACE,EQ,961129,318846,33.17
20,38,ACEINTEG,SM,3000,3000,100.00
20,39,ACRYSIL,EQ,497423,228615,45.96
20,40,ADANIENT,EQ,3188606,276252,8.66
20,41,ADANIPORTS,EQ,11132158,1602488,14.40
20,42,ADFFOODS,EQ,153388,63100,41.14
20,43,ADORWELD,EQ,21218,12976,61.16
20,44,ADSL,EQ,627068,280773,44.78
20,45,ADVANIHOTR,EQ,47589,25286,53.13
20,46,ADVENZYMES,EQ,131936,65032,49.29
20,47,AEGISCHEM,EQ,669668,480836,71.80
20,48,AGARIND,EQ,38136,25235,66.17
20,49,AGRITECH,EQ,12470,7394,59.29
20,50,AGROPHOS,EQ,45782,27917,60.98
20,51,AHLADA,EQ,36954,25588,69.24
20,52,AHLEAST,EQ,13654,8514,62.36
20,53,AHLUCONT,EQ,10511,6175,58.75
20,54,AHLWEST,EQ,13105,8172,62.36
20,55,AIAENG,EQ,7864,3918,49.82
20,56,AILIMITED,SM,3000,3000,100.00
20,57,AISL,SM,22800,6000,26.32
20,58,AJANTPHARM,EQ,272514,68442,25.12
20,59,AJOONI,EQ,147758,133631,90.44
20,60,AKASH,EQ,46729,44405,95.03
20,61,AKG,EQ,1512,1214,80.29
20,62,AKSHARCHEM,EQ,30329,13490,44.48
20,63,AKZOINDIA,EQ,4613,2574,55.80
20,64,ALANKIT,EQ,7485626,2374568,31.72
20,65,ALBERTDAVD,EQ,39096,20574,52.62
20,66,ALEMBICLTD,EQ,608750,263984,43.36
20,67,ALICON,EQ,22368,9987,44.65
20,68,ALKALI,EQ,50726,33690,66.42
20,69,ALKEM,EQ,181960,92046,50.59
20,70,ALKYLAMINE,EQ,434935,87209,20.05
20,71,ALLCARGO,EQ,2666530,1446888,54.26
20,72,ALLSEC,EQ,14745,7057,47.86
20,73,ALMONDZ,EQ,15287,12871,84.20
20,74,ALOKINDS,EQ,11953507,4322287,36.16
20,75,ALPA,EQ,27053,17468,64.57
20,76,ALPHAGEO,EQ,22458,9987,44.47
20,77,AMARAJABAT,EQ,534342,193033,36.13
20,78,AMBER,EQ,48426,27729,57.26
20,79,AMBICAAGAR,EQ,34922,26586,76.13
20,80,AMBIKCO,EQ,111767,41471,37.10
20,81,AMBUJACEM,EQ,3242782,1064786,32.84
20,82,AMDIND,EQ,26486,17517,66.14
20,83,AMJLAND,EQ,281664,162284,57.62
20,84,AMRUTANJAN,EQ,37138,14908,40.14
20,85,ANDHRAPAP,EQ,160388,64610,40.28
20,86,ANDHRSUGAR,EQ,106794,45760,42.85
20,87,ANGELBRKG,EQ,512183,209208,40.85
20,88,ANIKINDS,EQ,51264,34627,67.55
20,89,ANMOL,EQ,21959,1269,5.78
20,90,ANSALAPI,EQ,307421,162452,52.84
20,91,ANSALHSG,EQ,402789,268665,66.70
20,92,ANUP,EQ,511519,176067,34.42
20,93,ANURAS,EQ,141603,82999,58.61
20,94,APARINDS,EQ,1979300,235645,11.91
20,95,APCL,EQ,115282,66275,57.49
20,96,APCOTEXIND,EQ,621551,188928,30.40
20,97,APEX,EQ,328749,105996,32.24
20,98,APLAPOLLO,EQ,679857,362044,53.25
20,99,APLLTD,EQ,1711901,891131,52.06
20,100,APOLLO,EQ,134967,67189,49.78
20,101,APOLLOHOSP,EQ,455244,173326,38.07
20,102,APOLLOPIPE,EQ,129658,68583,52.90
20,103,APOLLOTYRE,EQ,3634879,1645612,45.27
20,104,APOLSINHOT,EQ,2257,1558,69.03
20,105,APTECHT,EQ,2199418,499394,22.71
20,106,ARENTERP,EQ,1846,1580,85.59
20,107,ARIES,EQ,118192,60549,51.23
20,108,ARIHANT,EQ,10231,2535,24.78
20,109,ARIHANTCAP,EQ,490887,199249,40.59
20,110,ARIHANTSUP,EQ,76745,21401,27.89
20,111,ARMANFIN,EQ,14160,6450,45.55
20,112,AROGRANITE,EQ,171451,104352,60.86
20,113,ARROWGREEN,EQ,14000,8623,61.59
20,114,ARSHIYA,EQ,78008,67860,86.99
20,115,ARSSINFRA,EQ,11979,8748,73.03
20,116,ARTEMISMED,EQ,10558,3590,34.00
20,117,ARVIND,EQ,3530311,1538371,43.58
20,118,ARVINDFASN,EQ,1859693,399012,21.46
20,119,ARVSMART,EQ,245831,65167,26.51
20,120,ASAHIINDIA,EQ,77119,44806,58.10
20,121,ASAHISONG,EQ,14159,7634,53.92
20,122,ASALCBR,EQ,31200,17993,57.67
20,123,ASHIANA,EQ,1074414,432315,40.24
20,124,ASHIMASYN,EQ,69753,45121,64.69
20,125,ASHOKA,EQ,969741,340453,35.11
20,126,ASHOKLEY,EQ,6290027,1685533,26.80
20,127,ASIANHOTNR,EQ,37439,21692,57.94
20,128,ASIANPAINT,EQ,996594,604918,60.70
20,129,ASIANTILES,EQ,200188,89351,44.63
20,130,ASLIND,SM,12000,8000,66.67
20,131,ASPINWALL,EQ,104465,49997,47.86
20,132,ASTEC,EQ,56163,33250,59.20
20,133,ASTERDM,EQ,278617,127400,45.73
20,134,ASTRAL,EQ,249113,140850,56.54
20,135,ASTRAMICRO,EQ,462752,190796,41.23
20,136,ASTRAZEN,EQ,17917,8869,49.50
20,137,ASTRON,EQ,1565735,474376,30.30
20,138,ATALREAL,SM,163200,89600,54.90
20,139,ATFL,EQ,53490,20127,37.63
20,140,ATUL,EQ,129839,113067,87.08
20,141,ATULAUTO,EQ,146242,70551,48.24
20,142,AUBANK,EQ,1087344,270577,24.88
20,143,AURIONPRO,EQ,228522,115651,50.61
20,144,AUROPHARMA,EQ,2756688,793062,28.77
20,145,AUTOAXLES,EQ,82512,37678,45.66
20,146,AUTOIND,EQ,242420,139396,57.50
20,147,AVADHSUGAR,EQ,194489,84652,43.53
20,148,AVANTIFEED,EQ,286370,96860,33.82
20,149,AVTNPL,EQ,676201,148979,22.03
20,150,AWHCL,EQ,82478,38312,46.45
20,151,AXISBANK,EQ,11102486,4831627,43.52
20,152,AXISBNKETF,EQ,566,346,61.13
20,153,AXISBPSETF,EQ,52389,52335,99.90
20,154,AXISCADES,EQ,227267,150817,66.36
20,155,AXISGOLD,EQ,80266,56216,70.04
20,156,AXISHCETF,EQ,14803,13055,88.19
20,157,AXISNIFTY,EQ,6117,5020,82.07
20,158,AXISTECETF,EQ,341,300,87.98
20,159,AYMSYNTEX,EQ,81173,49458,60.93
20,160,BAFNAPH,EQ,6262,4006,63.97
20,161,BAGFILMS,EQ,146159,96449,65.99
20,162,BAJAJ-AUTO,EQ,235770,96352,40.87
20,163,BAJAJCON,EQ,331822,146264,44.08
20,164,BAJAJELEC,EQ,90645,32349,35.69
20,165,BAJAJFINSV,EQ,319493,67282,21.06
20,166,BAJAJHLDNG,EQ,48520,41300,85.12
20,167,BAJFINANCE,EQ,1149153,409696,35.65
20,168,BALAJITELE,EQ,624711,236485,37.86
20,169,BALAMINES,EQ,158832,47415,29.85
20,170,BALAXI,EQ,5081,3532,69.51
20,171,BALKRISIND,EQ,308657,104389,33.82
20,172,BALMLAWRIE,EQ,284811,150436,52.82
20,173,BALPHARMA,EQ,34065,21841,64.12
20,174,BALRAMCHIN,EQ,896445,520402,58.05
20,175,BANARBEADS,EQ,745549,184185,24.70
20,176,BANARISUG,EQ,2876,1698,59.04
20,177,BANCOINDIA,EQ,131632,76056,57.78
20,178,BANDHANBNK,EQ,3325304,885683,26.63
20,179,BANKA,EQ,25954,19956,76.89
20,180,BANKBARODA,EQ,30360309,8913140,29.36
20,181,BANKBEES,EQ,610006,269784,44.23
20,182,BANKINDIA,EQ,1878525,554307,29.51
20,183,BANSWRAS,EQ,25707,14067,54.72
20,184,BARBEQUE,EQ,47618,12200,25.62
20,185,BASF,EQ,58988,21614,36.64
20,186,BASML,EQ,849408,416746,49.06
20,187,BATAINDIA,EQ,255790,73973,28.92
20,188,BAYERCROP,EQ,11612,6686,57.58
20,189,BBL,EQ,59633,22184,37.20
20,190,BBTC,EQ,146469,57374,39.17
20,191,BBTCL,SM,3000,3000,100.00
20,192,BCLIND,EQ,196540,79554,40.48
20,193,BCONCEPTS,SM,9000,9000,100.00
20,194,BCP,EQ,158475,124845,78.78
20,195,BDL,EQ,276362,81226,29.39
20,196,BEARDSELL,EQ,82536,69303,83.97
20,197,BECTORFOOD,EQ,213451,94830,44.43
20,198,BEL,EQ,16091543,3225648,20.05
20,199,BEML,EQ,138455,55305,39.94
20,200,BEPL,EQ,1568524,537583,34.27
20,201,BERGEPAINT,EQ,733662,213965,29.16
20,202,BESTAGRO,EQ,45998,34701,75.44
20,203,BETA,SM,800,800,100.00
20,204,BFINVEST,EQ,40089,10375,25.88
20,205,BFUTILITIE,EQ,216188,97941,45.30
20,206,BGRENERGY,EQ,132680,80068,60.35
20,207,BHAGERIA,EQ,96697,50869,52.61
20,208,BHAGYANGR,EQ,27074,15252,56.33
20,209,BHAGYAPROP,EQ,12891,10356,80.34
20,210,BHANDARI,EQ,762429,425051,55.75
20,211,BHARATFORG,EQ,421472,102093,24.22
20,212,BHARATGEAR,EQ,530194,119485,22.54
20,213,BHARATRAS,EQ,2546,1257,49.37
20,214,BHARTIARTL,EQ,31932505,11524077,36.09
20,215,BHEL,EQ,48463361,9152049,18.88
20,216,BIGBLOC,EQ,12644,7176,56.75
20,217,BIL,EQ,14406,7123,49.44
20,218,BINDALAGRO,EQ,282461,147361,52.17
20,219,BIOCON,EQ,1969181,596567,30.30
20,220,BIOFILCHEM,EQ,51194,35869,70.06
20,221,BIRET,RR,59800,48600,81.27
20,222,BIRLACORPN,EQ,202210,150625,74.49
20,223,BIRLAMONEY,EQ,233627,127210,54.45
20,224,BIRLATYRE,EQ,902258,535390,59.34
20,225,BLBLIMITED,EQ,323733,206047,63.65
20,226,BLISSGVS,EQ,242547,109880,45.30
20,227,BLKASHYAP,EQ,261835,181197,69.20
20,228,BLS,EQ,9204976,2485744,27.00
20,229,BLUEDART,EQ,22754,15490,68.08
20,230,BLUESTARCO,EQ,39347,21921,55.71
20,231,BODALCHEM,EQ,1539647,514425,33.41
20,232,BOMDYEING,EQ,25188543,4578574,18.18
20,233,BOROLTD,EQ,101199,54937,54.29
20,234,BOSCHLTD,EQ,18401,9283,50.45
20,235,BPCL,EQ,2205610,838745,38.03
20,236,BPL,EQ,267019,131113,49.10
20,237,BRIGADE,EQ,516597,125009,24.20
20,238,BRIGHT,SM,594000,534000,89.90
20,239,BRITANNIA,EQ,352127,213335,60.58
20,240,BRITANNIA,N2,10094,9836,97.44
20,241,BRITANNIA,N3,3507464,3506950,99.99
20,242,BRNL,EQ,87714,42384,48.32
20,243,BROOKS,EQ,27982,15041,53.75
20,244,BSE,EQ,566296,175828,31.05
20,245,BSHSL,EQ,25576,11415,44.63
20,246,BSL,EQ,75410,51317,68.05
20,247,BSLGOLDETF,EQ,213,143,67.14
20,248,BSLNIFTY,EQ,295,171,57.97
20,249,BSOFT,EQ,4496488,1290897,28.71
20,250,BTML,SM,2400,1200,50.00
20,251,BURGERKING,EQ,6123730,2661106,43.46
20,252,BYKE,EQ,181885,105303,57.90
20,253,CADILAHC,EQ,4685224,1844606,39.37
20,254,CADSYS,SM,2000,2000,100.00
20,255,CAMLINFINE,EQ,1220656,659259,54.01
20,256,CAMS,EQ,179599,55492,30.90
20,257,CANBK,EQ,19789687,6362936,32.15
20,258,CANFINHOME,EQ,726157,248754,34.26
20,259,CANTABIL,EQ,90164,56127,62.25
20,260,CAPACITE,EQ,312094,99731,31.96
20,261,CAPLIPOINT,EQ,1601805,189125,11.81
20,262,CAPTRUST,EQ,20059,14478,72.18
20,263,CARBORUNIV,EQ,287190,226483,78.86
20,264,CAREERP,EQ,481659,156102,32.41
20,265,CARERATING,EQ,426522,176654,41.42
20,266,CASTROLIND,EQ,750195,390981,52.12
20,267,CCL,EQ,5607019,669195,11.93
20,268,CEATLTD,EQ,135833,54188,39.89
20,269,CELEBRITY,EQ,439489,352757,80.27
20,270,CENTENKA,EQ,190683,47899,25.12
20,271,CENTEXT,EQ,167941,110930,66.05
20,272,CENTRALBK,EQ,13098685,2912881,22.24
20,273,CENTRUM,EQ,3892644,422425,10.85
20,274,CENTUM,EQ,41880,22919,54.73
20,275,CENTURYPLY,EQ,789912,316966,40.13
20,276,CENTURYTEX,EQ,8361954,1106356,13.23
20,277,CERA,EQ,2542,1354,53.27
20,278,CEREBRAINT,EQ,464471,224407,48.31
20,279,CESC,EQ,345878,141219,40.83
20,280,CGCL,EQ,20412,12465,61.07
20,281,CHALET,EQ,187181,82266,43.95
20,282,CHAMBLFERT,EQ,1201309,451125,37.55
20,283,CHEMBOND,EQ,55830,30284,54.24
20,284,CHEMCON,EQ,176235,70931,40.25
20,285,CHEMFAB,EQ,33214,17526,52.77
20,286,CHENNPETRO,EQ,455546,215759,47.36
20,287,CHOLAFIN,EQ,4841574,2547630,52.62
20,288,CHOLAHLDNG,EQ,112731,91487,81.16
20,289,CIGNITITEC,EQ,154690,74938,48.44
20,290,CINELINE,EQ,117922,58796,49.86
20,291,CIPLA,EQ,5094903,2712079,53.23
20,292,CLEAN,EQ,256379,107910,42.09
20,293,CLEDUCATE,EQ,118253,92344,78.09
20,294,CLNINDIA,EQ,45306,22293,49.21
20,295,CLSEL,EQ,56197,28807,51.26
20,296,CMICABLES,EQ,94176,58237,61.84
20,297,COALINDIA,EQ,8834228,3976179,45.01
20,298,COCHINSHIP,EQ,228215,116238,50.93
20,299,COFFEEDAY,EQ,882387,475451,53.88
20,300,COFORGE,EQ,981330,187609,19.12
20,301,COLPAL,EQ,181731,81304,44.74
20,302,COMPINFO,EQ,232805,130078,55.87
20,303,COMPUSOFT,EQ,93590,64117,68.51
20,304,CONCOR,EQ,1506971,661899,43.92
20,305,CONFIPET,EQ,912239,601723,65.96
20,306,CONSOFINVT,EQ,21373,17908,83.79
20,307,CONTI,SM,6666,6666,100.00
20,308,CONTROLPR,EQ,25955,12969,49.97
20,309,CORALFINAC,EQ,225419,189874,84.23
20,310,CORDSCABLE,EQ,46655,26619,57.05
20,311,COROMANDEL,EQ,600291,293525,48.90
20,312,COSMOFILMS,EQ,87455,39775,45.48
20,313,COUNCODOS,EQ,280795,222917,79.39
20,314,CPSEETF,EQ,1069597,793747,74.21
20,315,CRAFTSMAN,EQ,24041,12536,52.14
20,316,CREATIVEYE,EQ,5400,5400,100.00
20,317,CREDITACC,EQ,69672,34888,50.07
20,318,CRISIL,EQ,136071,62652,46.04
20,319,CROMPTON,EQ,1861202,1305403,70.14
20,320,CSBBANK,EQ,169819,40074,23.60
20,321,CTE,EQ,267705,142125,53.09
20,322,CUB,EQ,1281275,533441,41.63
20,323,CUBEXTUB,EQ,13731,8542,62.21
20,324,CUMMINSIND,EQ,755307,302124,40.00
20,325,CUPID,EQ,97532,49052,50.29
20,326,CYBERTECH,EQ,215796,103312,47.87
20,327,CYIENT,EQ,266218,138144,51.89
20,328,DAAWAT,EQ,3299314,1002310,30.38
20,329,DABUR,EQ,2559515,1119205,43.73
20,330,DALBHARAT,EQ,524627,346058,65.96
20,331,DALMIASUG,EQ,85021,44757,52.64
20,332,DANGEE,EQ,2995,2684,89.62
20,333,DATAMATICS,EQ,686018,234537,34.19
20,334,DBCORP,EQ,672464,276540,41.12
20,335,DBL,EQ,101177,41272,40.79
20,336,DBREALTY,EQ,899717,642185,71.38
20,337,DBSTOCKBRO,EQ,3373,3076,91.19
20,338,DCAL,EQ,560575,311970,55.65
20,339,DCBBANK,EQ,910722,518540,56.94
20,340,DCM,EQ,85753,72213,84.21
20,341,DCMNVL,EQ,215400,129465,60.10
20,342,DCMSHRIRAM,EQ,210313,105709,50.26
20,343,DCW,EQ,2436860,955070,39.19
20,344,DECCANCE,EQ,127712,43341,33.94
20,345,DEEPAKNTR,EQ,600790,163115,27.15
20,346,DEEPINDS,EQ,48977,29189,59.60
