Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,21STCENMGM,EQ,9055,9055,100.00
20,3,3MINDIA,EQ,1346,567,42.12
20,4,515GS2025,GS,10,10,100.00
20,5,585GS2030,GS,15,15,100.00
20,6,5PAISA,EQ,31373,12145,38.71
20,7,63MOONS,EQ,40527,23839,58.82
20,8,667GS2035,GS,74,74,100.00
20,9,667GS2050,GS,2360,2304,97.63
20,10,676GS2061,GS,121,99,81.82
20,11,68GS2060,GS,1,1,100.00
20,12,716GS2050,GS,702,702,100.00
20,13,719GS2060,GS,149,149,100.00
20,14,772GS2049,GS,10,10,100.00
20,15,772GS2055,GS,99,99,100.00
20,16,A2ZINFRA,EQ,325524,264363,81.21
20,17,AAKASH,EQ,282986,107627,38.03
20,18,AAREYDRUGS,EQ,41718,35361,84.76
20,19,AARON,EQ,11240,9781,87.02
20,20,AARTIDRUGS,EQ,147659,75499,51.13
20,21,AARTIIND,EQ,1106444,434799,39.30
20,22,AARTISURF,EQ,19476,5888,30.23
20,23,AARVEEDEN,EQ,14951,13147,87.93
20,24,AARVI,EQ,9731,6378,65.54
20,25,AAVAS,EQ,98737,40941,41.46
20,26,ABAN,EQ,298137,114686,38.47
20,27,ABB,EQ,87735,47161,53.75
20,28,ABBOTINDIA,EQ,21415,17503,81.73
20,29,ABCAPITAL,EQ,3425104,1460233,42.63
20,30,ABFRL,EQ,2133572,494947,23.20
20,31,ABMINTLLTD,EQ,2107,1798,85.33
20,32,ABSLBANETF,EQ,25981,25764,99.16
20,33,ABSLNN50ET,EQ,725,656,90.48
20,34,ACC,EQ,304307,98388,32.33
20,35,ACCELYA,EQ,27445,12793,46.61
20,36,ACCORD,SM,4000,4000,100.00
20,37,ACCURACY,EQ,73141,20495,28.02
20,38,ACE,EQ,1029245,428610,41.64
20,39,ACRYSIL,EQ,97687,56303,57.64
20,40,ADANIENT,EQ,3547971,775435,21.86
20,41,ADANIGREEN,EQ,3469774,2169067,62.51
20,42,ADANIPORTS,EQ,3748173,1156974,30.87
20,43,ADANIPOWER,EQ,3445198,1850492,53.71
