,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,12983000000.0,12114800000.0,8920400000.0,6072400000.0
Total Liab,329365700000.0,292309700000.0,293012700000.0,252720700000.0
Total Stockholder Equity,78620200000.0,77888100000.0,87455700000.0,74205900000.0
Minority Interest,12682800000.0,11070800000.0,10750700000.0,8253300000.0
Other Current Liab,13093200000.0,19887200000.0,20880500000.0,19175000000.0
Total Assets,420668700000.0,381268600000.0,391219100000.0,335179900000.0
Common Stock,2935500000.0,2935500000.0,2935500000.0,2927100000.0
Other Current Assets,10074100000.0,12644200000.0,12251400000.0,7786900000.0
Other Liab,10026900000.0,9684200000.0,9757600000.0,8525000000.0
Good Will,12407700000.0,11155600000.0,11155600000.0,11077400000.0
Treasury Stock,75684700000.0,5684900000.0,4093400000.0,3693600000.0
Other Assets,159980500000.0,134354500000.0,144022300000.0,110940400000.0
Cash,17785300000.0,21882400000.0,17673900000.0,12180400000.0
Total Current Liabilities,162238000000.0,147946600000.0,153158600000.0,141914800000.0
Deferred Long Term Asset Charges,89100000.0,77100000.0,103000000.0,1417800000.0
Short Long Term Debt,69269100000.0,60926600000.0,40205100000.0,36836300000.0
Other Stockholder Equity,75684700000.0,5684900000.0,4093400000.0,3693600000.0
Property Plant Equipment,62806900000.0,62777800000.0,53654800000.0,53205800000.0
Total Current Assets,159188600000.0,153094900000.0,164874800000.0,144215500000.0
Long Term Investments,13302000000.0,7771000000.0,8591200000.0,9668400000.0
Net Tangible Assets,53229500000.0,54617700000.0,67379700000.0,57056100000.0
Short Term Investments,13374800000.0,4109100000.0,6692900000.0,3237300000.0
Net Receivables,92995900000.0,97690500000.0,96614400000.0,66404100000.0
Long Term Debt,155646300000.0,133251400000.0,130096500000.0,102280900000.0
Inventory,24958500000.0,15363900000.0,30634300000.0,22076800000.0
Accounts Payable,53462300000.0,28346000000.0,51790200000.0,50535300000.0
Capital Surplus,,20071100000.0,19992900000.0,19915000000.0
Retained Earnings,,49196600000.0,60433900000.0,47670200000.0
