,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,101700000.0,75000000.0,38900000.0,30700000.0
Total Liab,12698300000.0,10054400000.0,9461600000.0,19331300000.0
Total Stockholder Equity,19338100000.0,14708800000.0,11019500000.0,8694100000.0
Other Current Liab,4823000000.0,3824100000.0,3242000000.0,350100000.0
Total Assets,32036400000.0,24763200000.0,20481100000.0,28025400000.0
Common Stock,1099800000.0,1099800000.0,1099800000.0,1099800000.0
Other Current Assets,100700000.0,118300000.0,101400000.0,147700000.0
Retained Earnings,16776200000.0,12146900000.0,8457600000.0,6132200000.0
Other Liab,1161900000.0,956000000.0,1085600000.0,3344200000.0
Good Will,254900000.0,254900000.0,254900000.0,254900000.0
Treasury Stock,1462100000.0,1462100000.0,1462100000.0,1462100000.0
Other Assets,4472200000.0,966200000.0,279300000.0,10385400000.0
Cash,102300000.0,886200000.0,1592500000.0,240300000.0
Total Current Liabilities,8082400000.0,5910900000.0,4918400000.0,3644500000.0
Short Long Term Debt,575900000.0,482100000.0,482100000.0,1104400000.0
Other Stockholder Equity,1462100000.0,1462100000.0,1462100000.0,1462100000.0
Property Plant Equipment,20401200000.0,15070800000.0,11412700000.0,9699900000.0
Total Current Assets,2233100000.0,5580700000.0,6735600000.0,6509600000.0
Long Term Investments,4573300000.0,2815600000.0,1759700000.0,1144900000.0
Net Tangible Assets,18981500000.0,14378900000.0,10725700000.0,8408500000.0
Short Term Investments,300000.0,300000.0,300000.0,657000000.0
Net Receivables,1348000000.0,3980400000.0,4593400000.0,5041800000.0
Long Term Debt,3079300000.0,2975500000.0,3457600000.0,12342600000.0
Inventory,520100000.0,413000000.0,439600000.0,421600000.0
Accounts Payable,1155200000.0,826100000.0,1038500000.0,1371500000.0
