,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,128400000.0,162500000.0,196100000.0,100000.0
Total Liab,10800500000.0,9692100000.0,8144600000.0,7496600000.0
Total Stockholder Equity,38265200000.0,31549000000.0,27057100000.0,22439200000.0
Minority Interest,306300000.0,263700000.0,238000000.0,200100000.0
Other Current Liab,1366600000.0,1538100000.0,1203900000.0,560600000.0
Total Assets,49372000000.0,41504800000.0,35439700000.0,30135900000.0
Common Stock,295900000.0,296600000.0,296600000.0,296600000.0
Other Current Assets,174000000.0,176500000.0,117600000.0,118700000.0
Retained Earnings,33018500000.0,26742500000.0,21622000000.0,17608700000.0
Other Liab,1694600000.0,1441500000.0,1940900000.0,1809200000.0
Good Will,291400000.0,291400000.0,323100000.0,237500000.0
Treasury Stock,4950800000.0,4163300000.0,4791900000.0,4187300000.0
Other Assets,1041600000.0,1079900000.0,651600000.0,731900000.0
Cash,469100000.0,261900000.0,545000000.0,493900000.0
Total Current Liabilities,8061200000.0,7317700000.0,5772300000.0,5687400000.0
Deferred Long Term Asset Charges,22100000.0,69100000.0,5200000.0,50100000.0
Short Long Term Debt,249500000.0,115000000.0,22100000.0,100000.0
Other Stockholder Equity,4950800000.0,4163300000.0,4791900000.0,4187300000.0
Property Plant Equipment,16062600000.0,14296600000.0,12214200000.0,10965000000.0
Total Current Assets,25640500000.0,20818100000.0,16622700000.0,13554900000.0
Long Term Investments,6207500000.0,4856300000.0,5432000000.0,4646500000.0
Net Tangible Assets,37845400000.0,31095100000.0,26537900000.0,22201600000.0
Short Term Investments,2985200000.0,59100000.0,,
Net Receivables,8290200000.0,8331700000.0,8487700000.0,8504400000.0
Long Term Debt,982100000.0,865800000.0,431400000.0,
Inventory,5941400000.0,5033700000.0,5118200000.0,4114300000.0
Accounts Payable,5631300000.0,4776300000.0,3796300000.0,4590200000.0
Capital Surplus,,346600000.0,346600000.0,346600000.0
