,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,121209002000.0,359032884000.0,318041578000.0,220605677000.0
Total Liab,6826505553000.0,6177942750000.0,5830698075000.0,5782687112000.0
Total Stockholder Equity,499802281000.0,450731486000.0,476519476000.0,367564815000.0
Minority Interest,1593141000.0,1514163000.0,1621544000.0,1591471000.0
Other Current Liab,14177590000.0,11271665000.0,12824005000.0,13796839000.0
Total Assets,7327900975000.0,6630188399000.0,6308839095000.0,6151843398000.0
Common Stock,32769234000.0,32769234000.0,27592894000.0,17429784000.0
Other Current Assets,654743758000.0,351257155000.0,351254373000.0,331899816000.0
Retained Earnings,194395317000.0,-53241585000.0,-21223576000.0,33435593000.0
Other Liab,180226427000.0,175727568000.0,129323481000.0,81282297000.0
Treasury Stock,151428728000.0,112170953000.0,152108580000.0,96093761000.0
Other Assets,3975380256000.0,3961059613000.0,3678390947000.0,3662804341000.0
Cash,690832879000.0,604062701000.0,680152825000.0,670429968000.0
Total Current Liabilities,6321638071000.0,5604690523000.0,5258722671000.0,5265422262000.0
Deferred Long Term Asset Charges,128260526000.0,137603952000.0,119357305000.0,92140211000.0
Other Stockholder Equity,151428728000.0,112170953000.0,152108580000.0,96093761000.0
Property Plant Equipment,90013980000.0,90579849000.0,89990777000.0,83498563000.0
Total Current Assets,1345576637000.0,955319856000.0,1031407198000.0,1002329784000.0
Long Term Investments,1916930102000.0,1623229081000.0,1509050173000.0,1403210710000.0
Net Tangible Assets,499802281000.0,450731486000.0,476519476000.0,367564815000.0
Net Receivables,657632500000.0,,,
Long Term Debt,324641055000.0,397524659000.0,442651923000.0,435982553000.0
Accounts Payable,6290983564000.0,5573864271000.0,5225549623000.0,5229969037000.0
