,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,67420000.0,70380000.0,37880000.0,15540000.0
Capital Surplus,501360000.0,501360000.0,501360000.0,501360000.0
Total Liab,15743630000.0,18385310000.0,7322400000.0,6667160000.0
Total Stockholder Equity,17580910000.0,18939280000.0,17418440000.0,14746910000.0
Other Current Liab,1002950000.0,686360000.0,894450000.0,666490000.0
Total Assets,33324540000.0,37324590000.0,24740840000.0,21414070000.0
Common Stock,642640000.0,642640000.0,642640000.0,642640000.0
Other Current Assets,413100000.0,83400000.0,69280000.0,45650000.0
Retained Earnings,16436910000.0,17795280000.0,16274440000.0,13602910000.0
Other Liab,20640000.0,25070000.0,1025170000.0,1059320000.0
Treasury Stock,16938270000.0,,,
Other Assets,3208270000.0,3377610000.0,2976990000.0,2779040000.0
Cash,10968210000.0,152110000.0,585790000.0,545110000.0
Total Current Liabilities,7126340000.0,8006780000.0,6297230000.0,5607840000.0
Deferred Long Term Asset Charges,1383990000.0,1109860000.0,1098500000.0,1054800000.0
Other Stockholder Equity,16938270000.0,,,
Property Plant Equipment,11463740000.0,13822580000.0,3299680000.0,3069900000.0
Total Current Assets,18577740000.0,20032270000.0,18404870000.0,15548950000.0
Long Term Investments,7370000.0,21750000.0,21420000.0,640000.0
Net Tangible Assets,17513490000.0,18868900000.0,17380560000.0,14731370000.0
Short Term Investments,10392500000.0,9456070000.0,7787940000.0,5344910000.0
Net Receivables,1113630000.0,1499860000.0,1413120000.0,1797200000.0
Inventory,6082800000.0,8736810000.0,8393670000.0,7651720000.0
Accounts Payable,4397280000.0,5033910000.0,5157780000.0,4797850000.0
