,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,84500000.0,79900000.0,81000000.0,47700000.0
Capital Surplus,1193300000.0,1167700000.0,1146200000.0,1123400000.0
Total Liab,25371200000.0,22377700000.0,21197300000.0,17488800000.0
Total Stockholder Equity,33768700000.0,26601300000.0,24438100000.0,21945100000.0
Minority Interest,70600000.0,71100000.0,34500000.0,
Other Current Liab,1593500000.0,1933600000.0,1385000000.0,1348500000.0
Total Assets,59210500000.0,49050100000.0,45669900000.0,39433900000.0
Common Stock,971300000.0,971200000.0,971100000.0,971000000.0
Other Current Assets,1405900000.0,1962600000.0,1285200000.0,1914000000.0
Retained Earnings,31625800000.0,24729200000.0,22467200000.0,19806000000.0
Other Liab,1275900000.0,987800000.0,1145600000.0,967500000.0
Good Will,2876300000.0,2789600000.0,2692500000.0,2645700000.0
Treasury Stock,-21700000.0,-266800000.0,-146400000.0,44700000.0
Other Assets,887300000.0,871900000.0,862000000.0,1141200000.0
Cash,1362200000.0,789200000.0,570700000.0,835900000.0
Total Current Liabilities,20506800000.0,17065900000.0,15733600000.0,14026600000.0
Deferred Long Term Asset Charges,34100000.0,55100000.0,103200000.0,7400000.0
Other Stockholder Equity,-21700000.0,-266800000.0,-146400000.0,44700000.0
Property Plant Equipment,18548900000.0,18071100000.0,14751900000.0,10949900000.0
Total Current Assets,35063300000.0,25864500000.0,25825900000.0,23593100000.0
Long Term Investments,1750200000.0,1373100000.0,1456600000.0,1056300000.0
Net Tangible Assets,30807900000.0,23731800000.0,21664600000.0,19251700000.0
Short Term Investments,2972000000.0,745000000.0,1757300000.0,1158800000.0
Net Receivables,10936500000.0,7668700000.0,7261200000.0,7245000000.0
Long Term Debt,1656500000.0,2382600000.0,2304900000.0,2442000000.0
Inventory,16161300000.0,12784600000.0,12335300000.0,10073400000.0
Accounts Payable,14974400000.0,10658100000.0,9993300000.0,9552500000.0
Short Long Term Debt,,,361200000.0,
