,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,85400000.0,83700000.0,76200000.0,79700000.0
Capital Surplus,2449800000.0,1166200000.0,855700000.0,481700000.0
Total Liab,44247800000.0,34037500000.0,19558900000.0,17685500000.0
Total Stockholder Equity,35476600000.0,44028300000.0,42532500000.0,34062300000.0
Minority Interest,363400000.0,356500000.0,326800000.0,131400000.0
Other Current Liab,7051000000.0,5292900000.0,4805500000.0,3957600000.0
Total Assets,80087800000.0,78422300000.0,62418200000.0,51879200000.0
Common Stock,240900000.0,240500000.0,240300000.0,240100000.0
Other Current Assets,1257300000.0,1308200000.0,1354100000.0,846300000.0
Retained Earnings,30588100000.0,40345700000.0,41159000000.0,33186300000.0
Other Liab,481900000.0,434200000.0,425600000.0,360100000.0
Good Will,1359000000.0,1389700000.0,1303700000.0,1282000000.0
Treasury Stock,2197800000.0,2275900000.0,277500000.0,154200000.0
Other Assets,3064000000.0,3795400000.0,2142700000.0,2807300000.0
Cash,1427400000.0,812300000.0,603200000.0,1299100000.0
Total Current Liabilities,36142700000.0,25784600000.0,18514100000.0,16479700000.0
Deferred Long Term Asset Charges,96600000.0,195600000.0,137500000.0,225700000.0
Short Long Term Debt,177300000.0,211600000.0,177300000.0,222800000.0
Other Stockholder Equity,2197800000.0,2275900000.0,277500000.0,154200000.0
Property Plant Equipment,17508200000.0,17559200000.0,16368200000.0,13972600000.0
Total Current Assets,44196800000.0,36749700000.0,35263400000.0,31512800000.0
Long Term Investments,13874400000.0,18844600000.0,7264000000.0,2224800000.0
Net Tangible Assets,34032200000.0,42554900000.0,41152600000.0,32700600000.0
Short Term Investments,1274100000.0,1288600000.0,1386500000.0,1304800000.0
Net Receivables,16024500000.0,16614700000.0,17257200000.0,12512000000.0
Long Term Debt,7471500000.0,7648800000.0,616600000.0,842700000.0
Inventory,10949300000.0,7472200000.0,8048800000.0,7664700000.0
Accounts Payable,13147500000.0,10470000000.0,11405100000.0,9940900000.0
