,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,82600000.0,47600000.0,79000000.0,113600000.0
Total Liab,21190600000.0,16340200000.0,23665700000.0,14844600000.0
Total Stockholder Equity,101871000000.0,100461000000.0,103274100000.0,93217700000.0
Minority Interest,1039900000.0,1085200000.0,1063400000.0,1133700000.0
Deferred Long Term Liab,128600000.0,140900000.0,105100000.0,74000000.0
Other Current Liab,7533400000.0,8531900000.0,8756300000.0,7713400000.0
Total Assets,124101500000.0,117886400000.0,128003200000.0,109196000000.0
Common Stock,3046500000.0,3046500000.0,3046500000.0,2437200000.0
Other Current Assets,4412700000.0,3274000000.0,33547900000.0,2114800000.0
Retained Earnings,98824500000.0,97414500000.0,100227600000.0,90780500000.0
Other Liab,1528900000.0,675900000.0,2529300000.0,2587400000.0
Other Assets,13748000000.0,13574600000.0,16817300000.0,17885400000.0
Cash,6784100000.0,722600000.0,1316800000.0,2109400000.0
Total Current Liabilities,13295100000.0,11769800000.0,20436400000.0,11637200000.0
Deferred Long Term Asset Charges,694800000.0,266800000.0,28200000.0,20200000.0
Short Long Term Debt,63600000.0,63600000.0,,
Property Plant Equipment,65769300000.0,62861200000.0,51825000000.0,46997000000.0
Total Current Assets,32169400000.0,29279300000.0,47468900000.0,32636300000.0
Long Term Investments,12332200000.0,12123700000.0,11813000000.0,11563700000.0
Net Tangible Assets,101788400000.0,100413400000.0,103195100000.0,93104100000.0
Short Term Investments,18341000000.0,20665700000.0,239100000.0,17729500000.0
Net Receivables,2356600000.0,4318300000.0,12091700000.0,10369800000.0
Long Term Debt,618000000.0,636400000.0,700000000.0,620000000.0
Inventory,239700000.0,262600000.0,236400000.0,278300000.0
Accounts Payable,2692600000.0,1553900000.0,3532100000.0,2759400000.0
