,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,35648000000.0,27659000000.0,44367000000.0,44665000000.0
Capital Surplus,8887000000.0,8495000000.0,8211000000.0,7790000000.0
Total Liab,92429000000.0,77253000000.0,85230000000.0,99144000000.0
Total Stockholder Equity,173062000000.0,154988000000.0,140197000000.0,126460000000.0
Other Current Liab,14877000000.0,12819000000.0,9206000000.0,11035000000.0
Total Assets,265491000000.0,232241000000.0,225427000000.0,225604000000.0
Common Stock,832000000.0,831000000.0,830000000.0,830000000.0
Other Current Assets,12667000000.0,11305000000.0,9582000000.0,10801000000.0
Retained Earnings,157349000000.0,144247000000.0,128646000000.0,113865000000.0
Other Liab,2739000000.0,3135000000.0,3530000000.0,4363000000.0
Good Will,4568000000.0,3994000000.0,3902000000.0,3945000000.0
Treasury Stock,5994000000.0,1415000000.0,2510000000.0,3975000000.0
Other Assets,11582000000.0,14795000000.0,5227000000.0,4827000000.0
Cash,14829000000.0,2053000000.0,2228000000.0,2638000000.0
Total Current Liabilities,83391000000.0,72814000000.0,59700000000.0,69692000000.0
Deferred Long Term Asset Charges,10630000000.0,12214000000.0,4168000000.0,3628000000.0
Other Stockholder Equity,7961000000.0,2421000000.0,3045000000.0,3975000000.0
Property Plant Equipment,57111000000.0,52332000000.0,54088000000.0,57869000000.0
Total Current Assets,148249000000.0,130370000000.0,114501000000.0,109645000000.0
Long Term Investments,8333000000.0,3091000000.0,3342000000.0,4653000000.0
Net Tangible Assets,132846000000.0,123335000000.0,91928000000.0,77850000000.0
Short Term Investments,19744000000.0,23687000000.0,22529000000.0,18330000000.0
Net Receivables,54456000000.0,57309000000.0,45632000000.0,48026000000.0
Long Term Debt,3800000000.0,,21448000000.0,24459000000.0
Inventory,45412000000.0,35066000000.0,33579000000.0,29089000000.0
Accounts Payable,12696000000.0,10745000000.0,10296000000.0,9208000000.0
Short Long Term Debt,,3783000000.0,4199000000.0,
