,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,605126833000.0,587555328000.0,569105180000.0,311945097000.0
Total Liab,15890636909000.0,14038950908000.0,11386312525000.0,9932307130000.0
Total Stockholder Equity,2098101886000.0,1763587052000.0,1536726595000.0,1095991243000.0
Minority Interest,6327647000.0,5766413000.0,5017945000.0,3563322000.0
Other Current Liab,124241904000.0,75837207000.0,70403952000.0,82217908000.0
Total Assets,17995066442000.0,15808304373000.0,12928057065000.0,11031861695000.0
Common Stock,5512776000.0,5483286000.0,5446613000.0,5190181000.0
Other Current Assets,1020680089000.0,759862630000.0,506530733000.0,1080461551000.0
Retained Earnings,1388635120000.0,1110956516000.0,927301231000.0,753719211000.0
Other Liab,570982915000.0,546873586000.0,431076159000.0,335157187000.0
Good Will,1487900000.0,1487900000.0,1487900000.0,1487900000.0
Treasury Stock,98827157000.0,59591922000.0,34873571000.0,25136754000.0
Other Assets,12093486908000.0,10766240273000.0,8950457501000.0,7134390808000.0
Cash,346243540000.0,249426893000.0,424455141000.0,259234113000.0
Total Current Liabilities,13988945707000.0,12148976091000.0,9551908576000.0,8032729095000.0
Deferred Long Term Asset Charges,55416400000.0,41442300000.0,46206800000.0,35320700000.0
Other Stockholder Equity,98827157000.0,59591922000.0,34873571000.0,25136754000.0
Property Plant Equipment,50995631000.0,46268558000.0,42198371000.0,38105583000.0
Total Current Assets,1460639886000.0,1101258123000.0,1039308374000.0,1473268164000.0
Long Term Investments,4388456117000.0,3893049519000.0,2894604919000.0,2384609240000.0
Net Tangible Assets,2096613986000.0,1762099152000.0,1535238695000.0,1094503343000.0
Short Term Investments,93203700000.0,91968600000.0,108322500000.0,133572500000.0
Long Term Debt,1330708287000.0,1343101231000.0,1403327790000.0,1564420848000.0
Inventory,512557000.0,,,
Accounts Payable,13337208758000.0,11462071336000.0,9225026779000.0,7883751419000.0
