,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,5772100000.0,3545900000.0,3478300000.0,3060300000.0
Capital Surplus,314900000.0,184000000.0,139800000.0,83000000.0
Total Liab,75364800000.0,51271900000.0,52678400000.0,53320600000.0
Total Stockholder Equity,154164200000.0,144062800000.0,131204100000.0,119714600000.0
Minority Interest,1431900000.0,1406000000.0,1161100000.0,932100000.0
Other Current Liab,9256200000.0,8579600000.0,7782400000.0,10224000000.0
Total Assets,230960900000.0,196740700000.0,185043600000.0,173967300000.0
Common Stock,399600000.0,399500000.0,399500000.0,399400000.0
Other Current Assets,2794500000.0,3652200000.0,2884700000.0,2561600000.0
Retained Earnings,153250400000.0,143284000000.0,130616500000.0,119233500000.0
Other Liab,7743500000.0,5964800000.0,7338200000.0,7010700000.0
Treasury Stock,153764600000.0,195300000.0,48300000.0,-1300000.0
Other Assets,4938100000.0,5110900000.0,16260200000.0,9999400000.0
Cash,3962400000.0,3053100000.0,2081200000.0,1306100000.0
Total Current Liabilities,65045300000.0,42790700000.0,44091800000.0,44813600000.0
Short Long Term Debt,116900000.0,22700000.0,29800000.0,28900000.0
Other Stockholder Equity,153764600000.0,195300000.0,48300000.0,-1300000.0
Property Plant Equipment,62983100000.0,65096700000.0,51773500000.0,50104100000.0
Total Current Assets,113704800000.0,86492000000.0,84132100000.0,90022300000.0
Long Term Investments,43562800000.0,36495200000.0,29399500000.0,20781200000.0
Net Tangible Assets,148392100000.0,140516900000.0,127725800000.0,116654300000.0
Short Term Investments,65910700000.0,1345600000.0,206800000.0,
Net Receivables,23144500000.0,19205400000.0,34436900000.0,20186100000.0
Long Term Debt,451800000.0,440200000.0,349400000.0,530200000.0
Inventory,17892700000.0,12823200000.0,12495300000.0,9626800000.0
Accounts Payable,52641800000.0,31276200000.0,34382400000.0,33752600000.0
