,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,67227400000.0,61607700000.0,77253300000.0,51096000000.0
Capital Surplus,767400000.0,767400000.0,767400000.0,767400000.0
Total Liab,2421019300000.0,2334626500000.0,2208102200000.0,1796506600000.0
Total Stockholder Equity,1118380500000.0,953979100000.0,1124692400000.0,1138738200000.0
Minority Interest,9759400000.0,8762700000.0,18773600000.0,21512200000.0
Deferred Long Term Liab,9488800000.0,10572500000.0,7431000000.0,6495000000.0
Other Current Liab,550151100000.0,521526300000.0,506201900000.0,491204000000.0
Total Assets,3549159200000.0,3297368300000.0,3351568200000.0,2956757000000.0
Common Stock,94141600000.0,94141600000.0,94141600000.0,97118100000.0
Other Current Assets,53951000000.0,40301000000.0,42688900000.0,32630100000.0
Retained Earnings,880070700000.0,760356800000.0,829089500000.0,816807800000.0
Other Liab,189921400000.0,158742000000.0,209371800000.0,166851800000.0
Good Will,10400000.0,10400000.0,10400000.0,10400000.0
Treasury Stock,143400800000.0,98713300000.0,200693900000.0,224044900000.0
Other Assets,125350800000.0,156976800000.0,121431300000.0,131941600000.0
Cash,7812400000.0,14346100000.0,9330900000.0,3187300000.0
Total Current Liabilities,1621748900000.0,1615178400000.0,1607205900000.0,1399049700000.0
Short Long Term Debt,66653000000.0,24271400000.0,38522400000.0,33411700000.0
Other Stockholder Equity,145732000000.0,101044500000.0,203025100000.0,226376100000.0
Property Plant Equipment,1866515500000.0,1737051600000.0,1530481300000.0,1380727400000.0
Total Current Assets,1162086900000.0,1107352800000.0,1295646100000.0,1056778600000.0
Long Term Investments,327968200000.0,234369000000.0,326745800000.0,336203000000.0
Net Tangible Assets,1051142700000.0,892361000000.0,1047428700000.0,1087631800000.0
Short Term Investments,97418200000.0,94606600000.0,96897700000.0,16542900000.0
Net Receivables,162604100000.0,285771800000.0,374913100000.0,218659200000.0
Long Term Debt,546850100000.0,497288300000.0,358427100000.0,196066300000.0
Inventory,834274600000.0,670107600000.0,771264800000.0,705679000000.0
Accounts Payable,372479700000.0,275762600000.0,411941200000.0,365816500000.0
