,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,20179000000.0,5302200000.0,5561600000.0,4664800000.0
Capital Surplus,95828100000.0,91826600000.0,84939300000.0,74155800000.0
Total Liab,131251500000.0,117163100000.0,123140700000.0,114442800000.0
Total Stockholder Equity,603473400000.0,652732600000.0,591408700000.0,525101100000.0
Minority Interest,3468100000.0,3774700000.0,3434700000.0,3344700000.0
Other Current Liab,27482600000.0,24617800000.0,21399000000.0,16255400000.0
Total Assets,738193000000.0,773670400000.0,717984100000.0,642888600000.0
Common Stock,12308800000.0,12292200000.0,12258600000.0,12204300000.0
Other Current Assets,11754800000.0,9797200000.0,8351200000.0,13944900000.0
Retained Earnings,474184200000.0,526601700000.0,458875500000.0,407827600000.0
Other Liab,22229300000.0,19466400000.0,22939300000.0,21826300000.0
Good Will,7797300000.0,2025300000.0,2025300000.0,2025300000.0
Treasury Stock,21152300000.0,22012100000.0,35335300000.0,30913400000.0
Other Assets,18410800000.0,25561300000.0,33242100000.0,33572800000.0
Cash,2904200000.0,6503500000.0,3178100000.0,1530700000.0
Total Current Liabilities,106896800000.0,95597700000.0,100119900000.0,92501500000.0
Deferred Long Term Asset Charges,585400000.0,562900000.0,593700000.0,479800000.0
Short Long Term Debt,3500000.0,22600000.0,34300000.0,70700000.0
Other Stockholder Equity,21152300000.0,22012100000.0,35335300000.0,30913400000.0
Property Plant Equipment,241355800000.0,238516900000.0,227519200000.0,213632800000.0
Total Current Assets,349919900000.0,395053500000.0,317472700000.0,263936200000.0
Long Term Investments,100530200000.0,107211200000.0,132163200000.0,125056700000.0
Net Tangible Assets,575497100000.0,645405100000.0,583821800000.0,518411000000.0
Short Term Investments,47611800000.0,74226000000.0,43733600000.0,31326900000.0
Net Receivables,34113600000.0,35388200000.0,49295100000.0,35597700000.0
Long Term Debt,55800000.0,59000000.0,81500000.0,115000000.0
Inventory,105072200000.0,89655300000.0,79439700000.0,75845300000.0
Accounts Payable,43187300000.0,36298300000.0,35095800000.0,34961800000.0
