,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,17749400000.0,19352800000.0,19241900000.0,14315300000.0
Capital Surplus,95782900000.0,95782900000.0,95782900000.0,95782900000.0
Total Liab,1858130500000.0,1919578700000.0,1882692000000.0,1708900600000.0
Total Stockholder Equity,699360700000.0,646953500000.0,590883900000.0,544259900000.0
Deferred Long Term Liab,105751300000.0,101230600000.0,80832700000.0,113042200000.0
Other Current Liab,123241800000.0,128624900000.0,128094200000.0,142782800000.0
Total Assets,2557491200000.0,2566532200000.0,2473575900000.0,2253160500000.0
Common Stock,52315900000.0,52315900000.0,52315900000.0,52315900000.0
Other Current Assets,70289300000.0,2490000000.0,3913300000.0,5222100000.0
Retained Earnings,476703200000.0,411612200000.0,342590300000.0,303376900000.0
Other Liab,225193300000.0,229543900000.0,208372600000.0,200738900000.0
Treasury Stock,74558700000.0,87242500000.0,100194800000.0,92784200000.0
Other Assets,202569000000.0,208207000000.0,180286300000.0,180582700000.0
Cash,44872300000.0,48495900000.0,36477300000.0,15348000000.0
Total Current Liabilities,306132300000.0,300815800000.0,326149300000.0,281058500000.0
Short Long Term Debt,122355400000.0,98485300000.0,107468500000.0,77926400000.0
Other Stockholder Equity,74558700000.0,87242500000.0,100194800000.0,92784200000.0
Property Plant Equipment,2067887900000.0,2143542300000.0,2084464600000.0,1924352800000.0
Total Current Assets,254429400000.0,181119300000.0,176618900000.0,121670000000.0
Long Term Investments,14855500000.0,14310800000.0,12964200000.0,12239700000.0
Net Tangible Assets,681611300000.0,627600700000.0,571642000000.0,529944600000.0
Short Term Investments,14298200000.0,9339400000.0,11070600000.0,12775100000.0
Net Receivables,111300200000.0,106459400000.0,112685200000.0,77831300000.0
Long Term Debt,1326622900000.0,1389086100000.0,1348170100000.0,1227103200000.0
Inventory,13669400000.0,14334600000.0,12472500000.0,10493500000.0
Accounts Payable,1874800000.0,2293200000.0,3678200000.0,2923500000.0
