,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,602500000.0,532100000.0,464900000.0,120700000.0
Capital Surplus,24086300000.0,24086300000.0,265300000.0,265300000.0
Total Liab,60646000000.0,67059100000.0,57598200000.0,62450100000.0
Total Stockholder Equity,153974100000.0,131694300000.0,96707500000.0,88966600000.0
Minority Interest,511600000.0,688100000.0,624800000.0,
Other Current Liab,10770400000.0,9241200000.0,8093200000.0,7663200000.0
Total Assets,215131700000.0,199441500000.0,154930500000.0,151416700000.0
Common Stock,360800000.0,360800000.0,348400000.0,348400000.0
Other Current Assets,1846200000.0,2579900000.0,2125600000.0,1084100000.0
Retained Earnings,128278800000.0,105282900000.0,96131300000.0,88339500000.0
Other Liab,9482900000.0,14219700000.0,11899000000.0,10411500000.0
Treasury Stock,1248200000.0,1964300000.0,-37500000.0,13400000.0
Other Assets,13922200000.0,13970900000.0,11819900000.0,11020500000.0
Cash,4721400000.0,1142100000.0,1422000000.0,517700000.0
Total Current Liabilities,37008100000.0,34079200000.0,21265800000.0,29671500000.0
Deferred Long Term Asset Charges,7860800000.0,7437800000.0,6126400000.0,5130500000.0
Short Long Term Debt,2936000000.0,8136600000.0,195000000.0,75300000.0
Other Stockholder Equity,1248200000.0,1964300000.0,-37500000.0,13400000.0
Property Plant Equipment,71525400000.0,73065300000.0,72646100000.0,50042600000.0
Total Current Assets,81873300000.0,78938200000.0,47192200000.0,57002500000.0
Long Term Investments,47208300000.0,32935000000.0,22807400000.0,33230400000.0
Net Tangible Assets,153371600000.0,131162200000.0,96242600000.0,88845900000.0
Short Term Investments,3763300000.0,4893600000.0,2606700000.0,772200000.0
Net Receivables,18135500000.0,22239000000.0,22079400000.0,15786700000.0
Long Term Debt,13315500000.0,17836300000.0,24377800000.0,22302600000.0
Inventory,17157200000.0,17134900000.0,18703100000.0,15690200000.0
Accounts Payable,8829700000.0,6576500000.0,5381900000.0,7272800000.0
