,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-461600000.0,-1423300000.0,-393700000.0,-6900000.0
Change To Liabilities,214700000.0,256800000.0,3236400000.0,-216700000.0
Total Cashflows From Investing Activities,-6468300000.0,-4349200000.0,-2639300000.0,-1653700000.0
Net Borrowings,-3116800000.0,-954600000.0,830100000.0,1807100000.0
Total Cash From Financing Activities,-3585500000.0,-778300000.0,-530300000.0,792300000.0
Change To Operating Activities,203200000.0,-371500000.0,96500000.0,496900000.0
Issuance Of Stock,153900000.0,1774600000.0,56400000.0,99800000.0
Net Income,3601600000.0,2379700000.0,1482500000.0,1581300000.0
Change In Cash,-282700000.0,-29100000.0,406800000.0,52300000.0
Total Cash From Operating Activities,9771100000.0,5095500000.0,3576400000.0,913700000.0
Depreciation,1015600000.0,948600000.0,634600000.0,526500000.0
Other Cashflows From Investing Activities,-3209200000.0,34300000.0,12000000.0,23900000.0
Change To Inventory,232400000.0,284000000.0,-1922400000.0,-1220000000.0
Change To Account Receivables,3470400000.0,847300000.0,-1123400000.0,-1401800000.0
Other Cashflows From Financing Activities,-622600000.0,-1257800000.0,-1081900000.0,-831500000.0
Change To Netincome,1021100000.0,740100000.0,1164200000.0,1139900000.0
Capital Expenditures,-2869200000.0,-3092400000.0,-2369300000.0,-1726800000.0
Dividends Paid,,-340500000.0,-334900000.0,-283100000.0
