,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-2862000000.0,-1055000000.0,-40000000.0,-21419000.0
Change To Liabilities,803000000.0,626000000.0,273000000.0,632060000.0
Total Cashflows From Investing Activities,-4541000000.0,-3177000000.0,-2934000000.0,-1852721000.0
Net Borrowings,-1242000000.0,-981000000.0,354000000.0,-421072000.0
Total Cash From Financing Activities,-1532000000.0,-1630000000.0,-50000000.0,-711093000.0
Issuance Of Stock,1000000.0,1000000.0,2000000.0,2000000.0
Net Income,4044000000.0,2479000000.0,1958000000.0,1750852000.0
Change In Cash,568000000.0,-753000000.0,457000000.0,254621000.0
Total Cash From Operating Activities,6641000000.0,4054000000.0,3420000000.0,2818450000.0
Depreciation,1165000000.0,1069000000.0,805000000.0,563347000.0
Other Cashflows From Investing Activities,32000000.0,11000000.0,54000000.0,7420000.0
Dividends Paid,-151000000.0,-240000000.0,-94000000.0,-79301000.0
Change To Inventory,683000000.0,-1434000000.0,-109000000.0,-851390000.0
Change To Account Receivables,-344000000.0,996000000.0,144000000.0,379966000.0
Other Cashflows From Financing Activities,-140000000.0,-409000000.0,-312000000.0,-210720000.0
Change To Netincome,290000000.0,308000000.0,340000000.0,335620000.0
Capital Expenditures,-1717000000.0,-2182000000.0,-2249000000.0,-1890987000.0
Effect Of Exchange Rate,,,,-15000.0
