,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-8500756000.0,-11767548000.0,-21804530000.0,-17254572000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-9897449000.0,-12674520000.0,-23045937000.0,-18895493000.0
Net Borrowings,-33056279000.0,17219649000.0,9744940000.0,5189793000.0
Total Cash From Financing Activities,71606864000.0,89788558000.0,129349077000.0,84443634000.0
Change To Operating Activities,-66806675000.0,-71143268000.0,-112624258000.0,-58841991000.0
Issuance Of Stock,6579785000.0,5457152000.0,3070937000.0,32523000.0
Net Income,11706846000.0,6747845000.0,3818068000.0,2920396000.0
Change In Cash,14116569000.0,16294852000.0,-210253000.0,11362630000.0
Total Cash From Operating Activities,-47592846000.0,-60819186000.0,-106513393000.0,-54185511000.0
Depreciation,1043685000.0,886177000.0,617546000.0,532456000.0
Other Cashflows From Financing Activities,98083358000.0,67376133000.0,116708026000.0,79221318000.0
Change To Netincome,6463298000.0,2690060000.0,1675251000.0,1203628000.0
Capital Expenditures,-1412263000.0,-921990000.0,-1257168000.0,-1649722000.0
Dividends Paid,,-264376000.0,-174826000.0,-174826000.0
