,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,1059689000.0,132647000.0,38000.0,22000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,713535000.0,-186564000.0,-957073000.0,-2073381000.0
Net Borrowings,-250197000.0,-396787000.0,-120500000.0,-120500000.0
Total Cash From Financing Activities,-9564552000.0,-8911044000.0,-8146815000.0,-3797684000.0
Change To Operating Activities,-3436859000.0,845518000.0,1712892000.0,-1547387000.0
Net Income,10353854000.0,8164660000.0,7755688000.0,6733749000.0
Change In Cash,-1012439000.0,198185000.0,726087000.0,1068252000.0
Total Cash From Operating Activities,7838578000.0,9295793000.0,9829975000.0,6939317000.0
Depreciation,1824973000.0,1979404000.0,1591683000.0,1565100000.0
Other Cashflows From Investing Activities,227215000.0,284430000.0,85103000.0,13650000.0
Dividends Paid,-9211120000.0,-7314927000.0,-3470344000.0,-2985648000.0
Change To Inventory,-389046000.0,-483481000.0,-218682000.0,658455000.0
Other Cashflows From Financing Activities,-103235000.0,-1199330000.0,-1564129000.0,-812036000.0
Change To Netincome,-514344000.0,-1210308000.0,-1011606000.0,-470600000.0
Capital Expenditures,-577612000.0,-603985000.0,-1388052000.0,-2089240000.0
