,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,9281600000.0,10562900000.0,-429500000.0,-2558800000.0
Change To Liabilities,1748000000.0,938500000.0,841600000.0,-412700000.0
Total Cashflows From Investing Activities,751300000.0,-834700000.0,-6854000000.0,-4783000000.0
Net Borrowings,-340200000.0,-612000000.0,776000000.0,64100000.0
Total Cash From Financing Activities,-348900000.0,-10914200000.0,-2459400000.0,-3141600000.0
Change To Operating Activities,1078900000.0,-139300000.0,231500000.0,-845200000.0
Net Income,19842900000.0,13765400000.0,13527400000.0,8770100000.0
Change In Cash,19871700000.0,410500000.0,229600000.0,-166000000.0
Total Cash From Operating Activities,19469300000.0,12159400000.0,9543000000.0,7758600000.0
Depreciation,2526200000.0,1833800000.0,1662400000.0,1400400000.0
Other Cashflows From Investing Activities,570100000.0,430900000.0,906000000.0,513300000.0
Change To Inventory,-2813700000.0,-915200000.0,-4216700000.0,-242400000.0
Change To Account Receivables,-2654000000.0,-2067000000.0,-1854800000.0,-690800000.0
Other Cashflows From Financing Activities,-8700000.0,-1807200000.0,-580700000.0,-13300000.0
Change To Netincome,-288700000.0,-1285400000.0,-675000000.0,-245300000.0
Capital Expenditures,-9101900000.0,-11832100000.0,-7330700000.0,-2738800000.0
Dividends Paid,,-8495000000.0,-2654700000.0,-3192400000.0
