,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,21429000000.0,48919000000.0,-4302000000.0,-9376000000.0
Change To Liabilities,5522000000.0,-11012000000.0,40872000000.0,-4558000000.0
Total Cashflows From Investing Activities,10751000000.0,-27898000000.0,-73788000000.0,-92717000000.0
Net Borrowings,-139058000000.0,-146766000000.0,21299000000.0,26935000000.0
Total Cash From Financing Activities,-167314000000.0,-50187000000.0,-29494000000.0,39249000000.0
Change To Operating Activities,-23122000000.0,-80653000000.0,-16709000000.0,-1863000000.0
Net Income,-442331000000.0,-738781000000.0,-146039000000.0,-41682000000.0
Change In Cash,-166000000.0,-3889000000.0,7582000000.0,-459000000.0
Total Cash From Operating Activities,156397000000.0,73275000000.0,53478000000.0,53324000000.0
Depreciation,236385000000.0,239932000000.0,142461000000.0,82686000000.0
Other Cashflows From Investing Activities,2912000000.0,1194000000.0,3334000000.0,2674000000.0
Change To Inventory,19000000.0,17000000.0,361000000.0,221000000.0
Change To Account Receivables,3136000000.0,-807000000.0,3506000000.0,1996000000.0
Other Cashflows From Financing Activities,-28256000000.0,-153419000000.0,-50794000000.0,-55244000000.0
Change To Netincome,376788000000.0,660947000000.0,26131000000.0,15119000000.0
Capital Expenditures,-47097000000.0,-79662000000.0,-76519000000.0,-86508000000.0
Issuance Of Stock,,249998000000.0,1000000.0,67558000000.0
