,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,84198500000.0,-52933800000.0,-36198700000.0,-50814200000.0
Change To Liabilities,11126000000.0,-6068700000.0,6386000000.0,20984900000.0
Total Cashflows From Investing Activities,56829100000.0,-61740200000.0,-55456800000.0,-71138900000.0
Net Borrowings,-570100000.0,-527700000.0,-176300000.0,23500000.0
Total Cash From Financing Activities,-186338300000.0,-81814800000.0,-68686400000.0,-62211300000.0
Issuance Of Stock,2906500000.0,6253000000.0,9691300000.0,9127900000.0
Net Income,131611900000.0,153062300000.0,125923300000.0,112712000000.0
Change In Cash,-3668800000.0,3341600000.0,1690900000.0,-1656200000.0
Total Cash From Operating Activities,125270900000.0,146896600000.0,125834100000.0,131694000000.0
Depreciation,16184500000.0,16073100000.0,13544400000.0,11900900000.0
Other Cashflows From Investing Activities,12821700000.0,15300000000.0,11973000000.0,7500900000.0
Dividends Paid,-186292900000.0,-70487600000.0,-62852100000.0,-57700100000.0
Change To Inventory,-14597800000.0,-5079900000.0,-3594400000.0,6016200000.0
Change To Account Receivables,-656000000.0,14110000000.0,-7546900000.0,-9637300000.0
Other Cashflows From Financing Activities,-2381800000.0,-17052500000.0,-15349300000.0,-13662600000.0
Change To Netincome,-18669100000.0,-25576200000.0,-9300000000.0,-10744600000.0
Capital Expenditures,-18366400000.0,-24411500000.0,-31691200000.0,-28782000000.0
