,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-6582274000.0,-2622351000.0,-2076636000.0,56748000.0
Change To Liabilities,1080046000.0,582508000.0,575731000.0,85868000.0
Total Cashflows From Investing Activities,-13436867000.0,-14765378000.0,-8023203000.0,-958076000.0
Net Borrowings,1153544000.0,3052360000.0,325437000.0,-3765671000.0
Total Cash From Financing Activities,-1374628000.0,-1081472000.0,1728268000.0,-7227921000.0
Change To Operating Activities,2280029000.0,3031682000.0,-685919000.0,1753485000.0
Net Income,7097186000.0,4964211000.0,2703400000.0,2895750000.0
Change In Cash,1109295000.0,-2245605000.0,517295000.0,813153000.0
Effect Of Exchange Rate,-8741000.0,-66633000.0,-226501000.0,168007000.0
Total Cash From Operating Activities,15902531000.0,13667878000.0,7038731000.0,8831143000.0
Depreciation,3061904000.0,2865028000.0,2412814000.0,2313218000.0
Other Cashflows From Investing Activities,735584000.0,284500000.0,366891000.0,427945000.0
Dividends Paid,-3297000.0,-1352195000.0,-699273000.0,-559418000.0
Change To Inventory,-661842000.0,-665201000.0,-340721000.0,-289167000.0
Change To Account Receivables,-982777000.0,-129256000.0,-230096000.0,-357010000.0
Other Cashflows From Financing Activities,-2524875000.0,-2781637000.0,-3005765000.0,-2902832000.0
Change To Netincome,4027985000.0,3004317000.0,2603522000.0,2428999000.0
Capital Expenditures,-7678078000.0,-12503360000.0,-6344508000.0,-2017956000.0
Issuance Of Stock,,,5107869000.0,5107869000.0
