,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-1893100000.0,397700000.0,-840980000.0,-1174420000.0
Change To Liabilities,269200000.0,380740000.0,146530000.0,133300000.0
Total Cashflows From Investing Activities,-2120160000.0,-261120000.0,-997370000.0,-1722750000.0
Net Borrowings,-235270000.0,-200260000.0,-200260000.0,-200260000.0
Total Cash From Financing Activities,-1385560000.0,-1904450000.0,-552610000.0,125050000.0
Change To Operating Activities,157880000.0,66000000.0,137260000.0,81720000.0
Issuance Of Stock,1490000.0,1660000.0,1510000.0,444740000.0
Net Income,2916210000.0,2259410000.0,1991800000.0,1707320000.0
Change In Cash,475780000.0,673330000.0,635390000.0,372950000.0
Total Cash From Operating Activities,3981500000.0,2838900000.0,2185370000.0,1970650000.0
Depreciation,701250000.0,662670000.0,320890000.0,267070000.0
Other Cashflows From Investing Activities,396180000.0,408160000.0,269520000.0,196920000.0
Dividends Paid,-990830000.0,-1277260000.0,-452680000.0,-261360000.0
Change To Inventory,144020000.0,-284250000.0,-12000000.0,-94280000.0
Change To Account Receivables,-204390000.0,-40820000.0,-178750000.0,-31490000.0
Other Cashflows From Financing Activities,-162450000.0,-428590000.0,-101440000.0,-58330000.0
Change To Netincome,-73400000.0,-270280000.0,-281670000.0,-156530000.0
Capital Expenditures,-355640000.0,-471280000.0,-348450000.0,-624620000.0
