,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Change To Liabilities,-4779000000.0,-493900000.0,281200000.0,603700000.0
Total Cashflows From Investing Activities,-730000000.0,-1266800000.0,-165300000.0,-1003600000.0
Net Borrowings,-8168300000.0,2911700000.0,222300000.0,1064300000.0
Total Cash From Financing Activities,1913300000.0,1440500000.0,-739500000.0,120100000.0
Change To Operating Activities,283400000.0,57300000.0,-7100000.0,76800000.0
Issuance Of Stock,11791600000.0,11791600000.0,11791600000.0,11791600000.0
Net Income,-1375500000.0,953400000.0,-30100000.0,-207800000.0
Change In Cash,5155800000.0,2671900000.0,-15300000.0,-61200000.0
Total Cash From Operating Activities,1178600000.0,2498200000.0,889500000.0,822300000.0
Depreciation,1740900000.0,1124200000.0,953700000.0,944200000.0
Other Cashflows From Investing Activities,660800000.0,501400000.0,453500000.0,454900000.0
Change To Inventory,172500000.0,-173100000.0,22600000.0,-51500000.0
Change To Account Receivables,560600000.0,140300000.0,-778000000.0,-883900000.0
Other Cashflows From Financing Activities,-1710000000.0,-1471200000.0,-961800000.0,-944200000.0
Change To Netincome,4575700000.0,816800000.0,374500000.0,340800000.0
Capital Expenditures,-1184200000.0,-887400000.0,-1157300000.0,-655400000.0
Investments,,-21500000.0,757600000.0,-733200000.0
