,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-43026500000.0,-7365354000.0,-7681380000.0,-34557139000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-5931900000.0,25864151000.0,22895837000.0,-8599545000.0
Total Cash From Financing Activities,768000000.0,-2998033000.0,-4756450000.0,11247347000.0
Issuance Of Stock,670600000.0,670600000.0,670600000.0,18725501000.0
Net Income,16404700000.0,14422460000.0,6047061000.0,21898844000.0
Change In Cash,5200500000.0,15580696000.0,5270959000.0,10559840000.0
Effect Of Exchange Rate,2595500000.0,2385357000.0,471669000.0,3662051000.0
Total Cash From Operating Activities,7768900000.0,-9670779000.0,-13340097000.0,4249987000.0
Other Cashflows From Investing Activities,37584700000.0,33892674000.0,31598536000.0,28124127000.0
Other Cashflows From Financing Activities,97400000.0,97400000.0,222424000.0,222424000.0
Change To Netincome,-8635800000.0,-25026795000.0,-20283713000.0,-18394816000.0
Capital Expenditures,-989200000.0,-999914000.0,-1216358000.0,-2573547000.0
Depreciation,,640126000.0,896555000.0,745959000.0
Dividends Paid,,-2998033000.0,-4966188000.0,-7448558000.0
Net Borrowings,,,-12686000.0,-29596000.0
