,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-30354700000.0,17657100000.0,9290300000.0,-2442900000.0
Change To Liabilities,1348800000.0,231100000.0,431500000.0,-392600000.0
Total Cashflows From Investing Activities,-43162800000.0,-3127600000.0,-7892300000.0,-18648800000.0
Net Borrowings,14289000000.0,2014200000.0,-1359400000.0,5000900000.0
Total Cash From Financing Activities,-25913000000.0,-17533100000.0,-32010300000.0,-15571700000.0
Change To Operating Activities,6635700000.0,-10419600000.0,-6502000000.0,-67700000.0
Net Income,62770100000.0,35732900000.0,46188400000.0,38084600000.0
Change In Cash,3585300000.0,599000000.0,112800000.0,-457800000.0
Repurchase Of Stock,-17006200000.0,-17006200000.0,-9965300000.0,-9965300000.0
Total Cash From Operating Activities,72661100000.0,21259700000.0,40015400000.0,33762800000.0
Depreciation,2285400000.0,2949300000.0,2790400000.0,2566300000.0
Other Cashflows From Investing Activities,2416900000.0,4064500000.0,4932800000.0,4372100000.0
Dividends Paid,-22732800000.0,-16196000000.0,-16895700000.0,-23922500000.0
Change To Inventory,-1982100000.0,-573400000.0,-944800000.0,-316500000.0
Change To Account Receivables,-1504900000.0,-10109800000.0,-2013200000.0,-7661400000.0
Other Cashflows From Financing Activities,-463000000.0,-3351300000.0,-3789900000.0,3349900000.0
Change To Netincome,3108100000.0,3449200000.0,65100000.0,1550100000.0
Capital Expenditures,-16221100000.0,-24034900000.0,-20059600000.0,-20578000000.0
