,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-18000000.0,233000000.0,125000000.0,961000000.0
Total Cashflows From Investing Activities,2764000000.0,657000000.0,-731000000.0,-787000000.0
Net Borrowings,-46000000.0,-46000000.0,-46000000.0,-46000000.0
Total Cash From Financing Activities,-8100000000.0,-1832000000.0,-1972000000.0,-1884000000.0
Change To Operating Activities,810000000.0,-97000000.0,-133000000.0,-429000000.0
Net Income,4776000000.0,4142000000.0,3806000000.0,3260000000.0
Change In Cash,775000000.0,2948000000.0,1036000000.0,1680000000.0
Total Cash From Operating Activities,6111000000.0,4123000000.0,3739000000.0,4351000000.0
Depreciation,810000000.0,983000000.0,1008000000.0,1004000000.0
Other Cashflows From Investing Activities,780000000.0,910000000.0,789000000.0,678000000.0
Dividends Paid,-2441340000.0,-1520000000.0,-1636000000.0,-1567000000.0
Change To Inventory,-222000000.0,135000000.0,-675000000.0,775000000.0
Change To Account Receivables,52000000.0,-648000000.0,407000000.0,-504000000.0
Other Cashflows From Financing Activities,-16000000.0,-312000000.0,-336000000.0,-317000000.0
Change To Netincome,-109000000.0,-641000000.0,-818000000.0,-734000000.0
Capital Expenditures,-414000000.0,-758000000.0,-592000000.0,-570000000.0
