,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-10752000000.0,297300000.0,-6608200000.0,-8558100000.0
Change To Liabilities,186800000.0,183200000.0,728700000.0,1982500000.0
Total Cashflows From Investing Activities,-11514300000.0,-4080200000.0,-11131000000.0,-12945500000.0
Net Borrowings,-359200000.0,-339800000.0,-339800000.0,-339800000.0
Total Cash From Financing Activities,-2494600000.0,-12223700000.0,-5955200000.0,-4754000000.0
Change To Operating Activities,-334800000.0,-12100000.0,-730800000.0,48400000.0
Net Income,15250300000.0,13851600000.0,14332700000.0,11351200000.0
Change In Cash,630700000.0,269000000.0,1153100000.0,-3982400000.0
Effect Of Exchange Rate,-2600000.0,16700000.0,-1700000.0,4700000.0
Total Cash From Operating Activities,14642200000.0,16556200000.0,18241000000.0,13712400000.0
Depreciation,4039200000.0,1115600000.0,843400000.0,864000000.0
Other Cashflows From Investing Activities,1531800000.0,2216900000.0,1021300000.0,764700000.0
Dividends Paid,-1970400000.0,-9852100000.0,-4926100000.0,-3940900000.0
Change To Account Receivables,-1261700000.0,-2665900000.0,-659900000.0,-3137600000.0
Other Cashflows From Financing Activities,-165000000.0,-2031800000.0,-1029100000.0,-813100000.0
Change To Netincome,-3237600000.0,-1805100000.0,-2057900000.0,-1038400000.0
Capital Expenditures,-234500000.0,-304200000.0,-266200000.0,-1357400000.0
Change To Inventory,,2400000.0,100000.0,6400000.0
