,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-2962500000.0,-2089300000.0,3961500000.0,-2197400000.0
Change To Liabilities,-3177700000.0,5154700000.0,5515400000.0,1917800000.0
Total Cashflows From Investing Activities,-2559100000.0,-2104900000.0,3927300000.0,-1991900000.0
Net Borrowings,369700000.0,-1097900000.0,1723600000.0,-286600000.0
Total Cash From Financing Activities,-1215100000.0,-2936600000.0,-182500000.0,-1813900000.0
Change To Operating Activities,2453700000.0,-565500000.0,2916000000.0,-2393400000.0
Net Income,5251400000.0,5171800000.0,5079100000.0,5724000000.0
Change In Cash,1786900000.0,-417000000.0,530500000.0,-552800000.0
Total Cash From Operating Activities,5561100000.0,4624500000.0,-3214300000.0,3253000000.0
Depreciation,307000000.0,284500000.0,201100000.0,205400000.0
Other Cashflows From Investing Activities,589900000.0,816600000.0,770200000.0,536400000.0
Dividends Paid,-1323600000.0,-1323500000.0,-1323600000.0,-1158000000.0
Change To Inventory,1893400000.0,-3692200000.0,-2776700000.0,940400000.0
Change To Account Receivables,-2748900000.0,-1807900000.0,-12110700000.0,-937600000.0
Other Cashflows From Financing Activities,-261200000.0,-515200000.0,-582500000.0,-369300000.0
Change To Netincome,1550300000.0,44000000.0,-2077200000.0,-2241700000.0
Capital Expenditures,-208200000.0,-905000000.0,-817700000.0,-346100000.0
