,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3893530000.0,2114190000.0,539230000.0,-600970000.0
Minority Interest,,,,460000.0
Net Income,2797740000.0,1473820000.0,200440000.0,547590000.0
Selling General Administrative,21680000.0,44540000.0,175020000.0,241800000.0
Gross Profit,4621530000.0,3633650000.0,2687980000.0,2079580000.0
Ebit,3122960000.0,1477520000.0,782140000.0,437470000.0
Operating Income,3122960000.0,1477520000.0,782140000.0,437470000.0
Other Operating Expenses,1316240000.0,1900140000.0,1689550000.0,1371460000.0
Interest Expense,-66630000.0,-32830000.0,-32830000.0,-32830000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1095790000.0,640370000.0,338790000.0,-1148560000.0
Total Revenue,6695620000.0,6388540000.0,5074170000.0,4105080000.0
Total Operating Expenses,3572660000.0,4911020000.0,4292030000.0,3667610000.0
Cost Of Revenue,2074090000.0,2754890000.0,2386190000.0,2025500000.0
Total Other Income Expense Net,770570000.0,636670000.0,-242910000.0,-1038440000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2797740000.0,1473820000.0,200440000.0,547590000.0
Net Income Applicable To Common Shares,2797740000.0,1473820000.0,200440000.0,547590000.0
