,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,8397100000.0,-83444835000.0,-59605410000.0,-86317005000.0
Minority Interest,,,,
Net Income,8314700000.0,-85274035000.0,-37378810000.0,-62994905000.0
Selling General Administrative,37027800000.0,44265741000.0,37967815000.0,40890210000.0
Gross Profit,64014300000.0,-32689593000.0,-15089594000.0,-30467751000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,8397100000.0,-83977935000.0,-59605410000.0,-86317005000.0
Other Operating Expenses,18589400000.0,7022601000.0,6548001000.0,14959044000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,82400000.0,1829200000.0,-22226600000.0,-23322100000.0
Total Revenue,64014300000.0,-32689593000.0,-15089594000.0,-30467751000.0
Total Operating Expenses,55617200000.0,51288342000.0,44515816000.0,55849254000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,533100000.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,8314700000.0,-85274035000.0,-37378810000.0,-62994905000.0
Net Income Applicable To Common Shares,8314700000.0,-85274035000.0,-37378810000.0,-62994905000.0
