,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,16306080000.0,15153800000.0,14073260000.0,11406520000.0
Minority Interest,,,,
Net Income,12168050000.0,11848370000.0,10733540000.0,8374990000.0
Selling General Administrative,704340000.0,689210000.0,2357640000.0,2274640000.0
Gross Profit,40925250000.0,39208960000.0,34322890000.0,27279090000.0
Ebit,15610780000.0,14187530000.0,12479880000.0,9915520000.0
Operating Income,15610780000.0,14187530000.0,12479880000.0,9915520000.0
Other Operating Expenses,22192250000.0,22015910000.0,18726930000.0,14380720000.0
Interest Expense,-634150000.0,-811930000.0,-173690000.0,-129960000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4138030000.0,3305430000.0,3339720000.0,2900750000.0
Total Revenue,97223110000.0,88435370000.0,77309800000.0,65458360000.0
Total Operating Expenses,81612330000.0,74247840000.0,64829920000.0,55542840000.0
Cost Of Revenue,56297860000.0,49226410000.0,42986910000.0,38179270000.0
Total Other Income Expense Net,695300000.0,966270000.0,1593380000.0,1491000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,12168050000.0,11848370000.0,10733540000.0,8505770000.0
Net Income Applicable To Common Shares,12168050000.0,11848370000.0,10733540000.0,8374990000.0
