,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,12556000000.0,9563000000.0,24345000000.0,23186000000.0
Minority Interest,129000000.0,110000000.0,143000000.0,142000000.0
Net Income,8001000000.0,5265000000.0,15671000000.0,14791000000.0
Selling General Administrative,605000000.0,598000000.0,889000000.0,959000000.0
Gross Profit,35898000000.0,37279000000.0,40919000000.0,34613000000.0
Ebit,21173000000.0,20239000000.0,24098000000.0,19488000000.0
Operating Income,21173000000.0,20239000000.0,24098000000.0,19488000000.0
Other Operating Expenses,11471000000.0,13736000000.0,13585000000.0,12345000000.0
Interest Expense,-549000000.0,-1431000000.0,-1288000000.0,-1429000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4625000000.0,4317000000.0,8673000000.0,8409000000.0
Total Revenue,77299000000.0,81299000000.0,79339000000.0,66857000000.0
Total Operating Expenses,56126000000.0,61060000000.0,55241000000.0,47369000000.0
Cost Of Revenue,41401000000.0,44020000000.0,38420000000.0,32244000000.0
Total Other Income Expense Net,-8617000000.0,-10676000000.0,247000000.0,3698000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7931000000.0,5246000000.0,15672000000.0,14777000000.0
Net Income Applicable To Common Shares,8001000000.0,5265000000.0,15671000000.0,14791000000.0
