Date,Open,High,Low,Close,Adj Close,Volume
04-Jun-2021,814.0,814.0,803.0999755859375,804.5999755859375,804.5999755859375,5081945.0
07-Jun-2021,807.9,811.75,802.6,803.85,804.6,2994862.0
08-Jun-2021,804.1,810.0,797.5,807.85,803.85,2960405.0
09-Jun-2021,808.0,816.75,801.0,804.45,807.85,4176767.0
10-Jun-2021,808.0,810.95,803.05,806.95,804.45,2264605.0
11-Jun-2021,809.0,815.85,805.5,809.0,806.95,1783272.0
14-Jun-2021,809.0,809.5,794.0,807.45,809.0,1598770.0
15-Jun-2021,807.35,813.5,806.0,808.6,807.45,1640381.0
16-Jun-2021,808.8,821.85,801.6,806.15,808.6,3863280.0
17-Jun-2021,802.0,809.9,792.55,805.7,806.15,1988175.0
18-Jun-2021,806.0,808.95,773.1,781.55,805.7,5793496.0
21-Jun-2021,776.0,778.85,762.35,776.85,781.55,3024852.0
22-Jun-2021,780.1,789.55,772.7,775.2,776.85,2925669.0
23-Jun-2021,781.9,786.0,775.0,781.95,775.2,2700327.0
24-Jun-2021,783.0,794.0,779.0,791.8,781.95,3251137.0
25-Jun-2021,793.2,801.9,790.0,794.25,791.8,1763201.0
28-Jun-2021,795.0,799.0,789.25,793.5,794.25,1409432.0
29-Jun-2021,789.0,792.0,779.4,781.6,793.5,3167773.0
30-Jun-2021,784.9,789.4,775.45,777.7,781.6,2393862.0
01-Jul-2021,778.0,798.75,774.9,779.45,777.7,5697553.0
02-Jul-2021,786.0,787.3,777.0,782.6,779.45,1963778.0
05-Jul-2021,786.0,793.5,784.5,791.75,782.6,1320469.0
06-Jul-2021,790.6,795.0,778.7,781.9,791.75,1420179.0
07-Jul-2021,777.8,781.9,768.55,778.9,781.9,3004815.0
08-Jul-2021,777.95,787.6,771.0,776.25,778.9,2010027.0
09-Jul-2021,772.0,776.0,767.0,771.55,776.25,1658120.0
12-Jul-2021,776.0,781.0,768.5,772.85,771.55,2681410.0
13-Jul-2021,777.9,782.2,773.65,781.15,772.85,2189466.0
14-Jul-2021,780.0,787.0,777.05,786.15,781.15,2067565.0
15-Jul-2021,781.0,783.95,775.2,779.9,786.15,2109663.0
16-Jul-2021,784.0,784.0,776.5,779.8,779.9,845054.0
19-Jul-2021,775.8,780.7,770.0,775.8,779.8,1265906.0
20-Jul-2021,775.0,775.7,752.35,760.2,775.8,2179910.0
22-Jul-2021,764.2,767.1,755.65,758.45,760.2,2182264.0
